All Players Projections MLB Scoring Stats - Average									
Player	Action	Team	ERA	INN	K	S	W	WHIP	Rank
Williams, Jerome SP LAA 	-	Free Agent	3.682	44.0	28	0	4	1.3636	650
Simon, Alfredo SP BAL	-	Whiteness	5.053	57.0	41	6	3	1.4737	651
Kawakami, Kenshin SP ATL	-	Free Agent	4.316	81.3	55	0	3	1.4016	653
Atchison, Scott RP BOS	-	Free Agent	3.971	45.3	29	0	2	1.2353	656
Paterson, Joe RP ARI	-	Free Agent	2.912	34.0	28	1	0	1.2647	659
Boggs, Mitchell RP STL	-	Free Agent	3.774	62.0	49	1	2	1.4677	660
Calero, Kiko RP LAD	-	Free Agent	1.800	20.0	23	0	1	1.1000	661
Kelley, Shawn RP SEA	-	Free Agent	3.536	28.0	26	0	3	1.2143	662
Penny, Brad SP DET	-	Free Agent	4.861	137.0	73	0	8	1.4599	663
Wright, Jamey RP SEA	-	Free Agent	3.932	68.7	45	0	2	1.3981	667
Outman, Josh SP OAK	-	Free Agent	3.643	42.0	29	0	2	1.2857	669
Delgado, Randall SP ATL	-	Free Agent	2.829	35.0	18	0	1	1.2286	670
Francis, Jeff SP KC 	-	Free Agent	4.886	143.7	79	0	5	1.4130	671
Hawksworth, Blake RP LAD	-	Free Agent	4.131	61.0	41	0	3	1.3770	672
Reynolds, Matt RP COL	-	Free Agent	3.670	34.3	34	0	1	1.1942	674
Webb, Ryan RP MIA	-	Free Agent	3.200	45.0	31	0	2	1.4000	677
Thompson, Rich RP LAA	-	Free Agent	3.193	31.0	31	0	1	1.2258	680
Sanabia, Alex SP MIA	-	Free Agent	3.672	41.7	28	0	2	1.2960	684
Linebrink, Scott RP ATL	-	Free Agent	4.179	56.0	50	1	3	1.4643	685
Heilman, Aaron RP ARI	-	Free Agent	4.800	60.0	51	2	4	1.4500	687
Carreno, Joel RP TOR	-	Free Agent	1.149	15.7	14	0	1	0.9574	689
Miller, Trever RP BOS	-	Free Agent	3.208	33.7	27	0	1	1.2475	690
Carrasco, D.J. RP NYM	-	Free Agent	4.276	73.7	51	0	3	1.4253	695
Watson, Tony RP PIT	-	Free Agent	3.951	41.0	37	0	2	1.3171	697
Arrieta, Jake SP BAL 	-	Free Agent	4.909	110.0	72	0	8	1.4909	698
Perkins, Glen RP MIN	-	Free Agent	4.650	60.0	41	1	4	1.4000	700
Perry, Ryan RP WAS 	-	Free Agent	4.025	53.7	43	1	2	1.4348	702
Parnell, Bobby RP NYM	-	Free Agent	4.279	61.0	57	2	3	1.5410	703
Mijares, Jose RP KC 	-	Free Agent	3.399	47.7	38	0	1	1.4056	704
Young, Chris SP NYM 	-	User Abuser	3.825	40.0	29	0	2	1.3000	707
Bulger, Jason RP MIN 	-	Free Agent	3.546	33.0	33	0	2	1.3333	708
Crow, Aaron RP KC	-	Free Agent	2.903	31.0	32	0	2	1.4194	711
Nicasio, Juan SP COL 	-	Free Agent	4.000	36.0	29	0	2	1.2500	712
Durbin, Chad RP CLE	-	Free Agent	4.565	69.0	61	1	3	1.4638	713
Troncoso, Ramon RP LAD	-	Free Agent	3.906	53.0	34	2	2	1.4717	715
Duke, Zach SP ARI	-	Free Agent	4.811	149.7	78	0	7	1.4766	721
Fulchino, Jeff RP WAS 	-	Free Agent	4.445	54.7	50	0	3	1.4085	722
Palmer, Matt RP LAA	-	Free Agent	4.263	57.0	31	0	4	1.4035	725
Wade, Cory RP NYY	-	Free Agent	3.627	22.3	16	0	3	1.1642	726
Shaw, Bryan RP ARI	-	Free Agent	2.541	28.3	24	0	1	1.3412	728
Dessens, Elmer RP NYM	-	Free Agent	2.700	26.7	10	0	1	1.1625	729
Logan, Boone RP NYY	-	Free Agent	3.546	33.0	31	0	3	1.4242	735
Dunn, Mike RP MIA	-	Free Agent	3.139	28.7	33	0	2	1.4302	742
Wood, Blake RP KC	-	Free Agent	4.223	59.7	46	0	3	1.4581	750
Okajima, Hideki RP BOS 	-	Free Agent	3.991	38.3	31	0	4	1.4609	753
Guzman, Angel RP LAD 	-	Free Agent	3.098	20.3	16	0	1	1.0820	756
Lewis, Jensen RP CLE	-	Free Agent	3.932	34.3	30	0	2	1.3398	757
Carpenter, David RP HOU	-	Free Agent	2.928	27.7	29	1	1	1.4819	759
Russell, James SP CHC 	-	Free Agent	4.474	58.3	42	0	1	1.3371	761
Peacock, Brad SP OAK 	-	Free Agent	0.750	12.0	4	0	2	1.0833	765
McClendon, Mike RP MIL	-	Free Agent	3.115	17.3	16	0	2	1.1538	766
Walker, Tyler RP WAS	-	Free Agent	3.422	23.7	19	0	1	1.1831	769
Minor, Mike SP ATL	-	Free Agent	4.670	61.7	60	0	4	1.5081	771
Owings, Micah RP ARI 	-	Free Agent	4.875	72.0	49	0	6	1.4861	772
Resop, Chris RP PIT	-	Free Agent	4.368	45.3	52	0	2	1.4559	774
Cramer, Bobby RP OAK	-	Free Agent	2.250	16.0	10	0	1	1.0625	775
Park, Chan Ho RP PIT	-	Free Agent	4.592	49.0	42	0	2	1.3673	776
Figueroa, Nelson SP HOU	-	Free Agent	4.359	64.0	50	0	3	1.4844	778
Escalona, Edgmer RP COL	-	Free Agent	1.688	16.0	8	0	0	1.0000	780
Cassevah, Bobby RP LAA	-	Free Agent	3.000	30.0	16	0	1	1.3333	781
Tomko, Brett RP TEX	-	Free Agent	3.960	25.0	16	0	2	1.2000	782
Lopez, Rodrigo SP CHC	-	Free Agent	4.857	109.3	63	0	5	1.4634	783
White, Sean RP COL	-	Free Agent	3.546	33.0	14	0	1	1.2727	788
Zumaya, Joel RP DET 	-	Free Agent	3.522	23.0	21	1	2	1.4348	789
Blevins, Jerry RP OAK	-	Free Agent	3.818	33.0	32	0	1	1.3636	790
Volquez, Edinson SP SD 	-	Free Agent	5.009	73.7	73	0	4	1.4932	791
Stammen, Craig RP WAS	-	Free Agent	4.979	81.3	48	0	3	1.3770	793
Buchholz, Taylor RP NYM 	-	Free Agent	3.316	19.0	18	0	1	1.1579	797
Isringhausen, Jason RP NYM	-	Free Agent	3.927	18.3	17	2	1	1.3091	798
Morales, Franklin RP BOS	-	Free Agent	4.696	38.3	37	3	1	1.4870	800
Sheets, Ben SP OAK	-	Free Agent	4.525	59.7	42	0	2	1.4078	801
Patton, Troy RP BAL	-	Free Agent	2.935	15.3	12	0	1	1.0435	802
Cruz, Juan RP TB	-	Free Agent	4.673	34.7	30	1	3	1.4423	804
Rodriguez, Henry RP WAS	-	Free Agent	3.897	32.3	36	1	1	1.4845	806
Nippert, Dustin RP TEX	-	Free Agent	4.071	42.0	34	0	3	1.5000	808
Perez, Rafael RP CLE	-	Free Agent	4.238	57.3	34	0	5	1.5523	809
Miller, Justin RP SEA	-	Free Agent	3.667	27.0	22	0	1	1.2963	810
Herndon, David RP PHI	-	Free Agent	3.787	54.7	34	0	1	1.4634	812
Matsuzaka, Daisuke SP BOS 	-	Free Agent	5.076	83.3	71	0	5	1.5000	813
Detwiler, Ross SP WAS 	-	Free Agent	4.105	57.0	34	0	2	1.4561	817
Estrada, Marco SP MIL	-	Free Agent	4.865	37.0	37	0	1	1.2703	818
Enright, Barry SP ARI	-	Free Agent	4.873	68.3	35	0	4	1.4049	820
Sweeney, Brian RP ARI	-	Free Agent	2.893	18.7	7	0	0	1.0179	823
Germano, Justin RP CLE	-	Free Agent	3.750	24.0	17	0	0	1.1250	824
Eovaldi, Nate SP LAD	-	Free Agent	3.635	34.7	23	0	1	1.3846	825
Ross, Tyson SP OAK	-	Free Agent	4.301	37.7	28	0	2	1.3805	826
Corpas, Manny RP CHC 	-	Free Agent	5.062	32.0	24	4	1	1.4688	828
Ohman, Will RP CHW	-	Free Agent	4.000	36.0	35	0	1	1.4167	829
Elbert, Scott RP LAD	-	Orange-a-Tangs	3.500	18.0	18	1	1	1.3333	830
Milone, Tommy SP OAK 	-	Free Agent	3.808	26.0	15	0	1	1.2308	831
Pena, Tony RP CHW	-	Free Agent	4.806	63.7	43	1	4	1.5079	833
Silva, Carlos SP BOS 	-	Free Agent	5.098	47.7	30	0	4	1.3846	834
Cormier, Lance RP LAD	-	Free Agent	4.059	51.0	24	1	2	1.4902	835
Rodriguez, Aneury SP HOU	-	Free Agent	5.273	85.3	64	0	1	1.3477	836
Reyes, Dennys RP BOS	-	Free Agent	3.667	27.0	20	1	1	1.4444	838
Donnelly, Brendan RP PIT	-	Free Agent	3.857	18.7	17	1	2	1.4464	840
Herrera, Danny RP NYM	-	Free Agent	3.447	31.3	21	0	2	1.5000	843
Schlereth, Daniel RP DET	-	Free Agent	3.767	28.7	28	0	2	1.5000	846
Ayala, Luis RP NYY	-	Free Agent	3.656	32.0	22	0	1	1.4062	847
Condrey, Clay RP MIN	-	Free Agent	3.214	14.0	8	0	2	1.2143	851
Vargas, Claudio RP COL	-	Free Agent	3.541	20.3	16	0	1	1.2787	853
Beimel, Joe RP PIT	-	Free Agent	3.857	42.0	24	0	1	1.4286	857
De Los Santos, Fautino RP OAK 	-	Free Agent	4.320	16.7	22	0	2	1.3200	860
Martinez, Pedro SP PHI 	-	Free Agent	3.600	15.0	12	0	2	1.2667	862
Kimball, Cole RP WAS	-	Free Agent	1.929	14.0	11	0	1	1.3571	863
Meyer, Dan RP PHI	-	Free Agent	3.971	22.7	20	1	1	1.4118	864
Kilby, Brad RP OAK	-	Free Agent	1.080	8.3	9	0	0	0.8400	866
Samardzija, Jeff RP CHC	-	Evil Empire	4.753	47.3	39	0	4	1.5211	867
Hand, Brad SP MIA	-	Free Agent	4.200	60.0	38	0	1	1.4667	870
Martin, J.D. SP WAS 	-	Free Agent	4.320	41.7	23	0	2	1.4160	871
Axelrod, Dylan RP CHW	-	Free Agent	2.893	18.7	19	0	1	1.4464	872
Baez, Danys RP PHI	-	Free Agent	5.052	51.7	29	0	3	1.3742	873
Grilli, Jason RP PIT 	-	Free Agent	4.154	26.0	29	1	1	1.5000	874
Hagadone, Nick RP CLE	-	Free Agent	4.091	11.0	11	0	1	0.9091	875
Zavada, Clay RP ARI	-	Free Agent	3.176	17.0	17	0	1	1.3529	876
Arredondo, Jose RP CIN	-	Free Agent	4.408	32.7	32	0	2	1.4694	879
DiFelice, Mark RP MIL	-	Free Agent	3.927	18.3	17	0	1	1.2545	880
Valdes, Raul RP PHI	-	Free Agent	4.585	35.3	36	0	2	1.4717	881
Weaver, Jeff RP LAD	-	Free Agent	4.610	41.0	30	0	4	1.5366	883
Herrmann, Frank RP CLE	-	Free Agent	4.618	50.7	29	0	2	1.4211	890
Escalona, Sergio RP HOU	-	Free Agent	3.293	13.7	12	0	1	1.2439	893
Pinto, Renyel RP STL	-	Free Agent	3.115	26.0	25	0	1	1.5769	895
Carrasco, Carlos SP CLE 	-	Free Agent	4.922	64.0	45	0	3	1.4688	896
Morton, Charlie SP PIT 	-	Free Agent	4.888	116.0	77	0	6	1.5603	897
Santiago, Hector RP CHW	-	Free Agent	0.000	5.3	2	0	0	0.3750	898
Cashner, Andrew RP SD 	-	Free Agent	4.408	32.7	29	0	1	1.4082	899
Cook, Aaron SP COL	-	Free Agent	4.935	127.7	63	0	7	1.5274	902
Mattheus, Ryan RP WAS	-	Free Agent	2.812	16.0	6	0	1	1.3125	903
Jepsen, Kevin RP LAA	-	Free Agent	4.677	42.3	38	0	3	1.5354	904
Duchscherer, Justin SP BAL	-	Free Agent	2.571	14.0	9	0	1	1.3571	907
Maine, John SP COL	-	Free Agent	4.909	40.3	31	0	3	1.4628	908
Seay, Bobby RP DET	-	Free Agent	4.408	16.3	12	0	2	1.2857	909
Herges, Matt RP KC	-	Free Agent	3.086	11.7	9	0	1	1.2000	911
Moore, Matt RP TB 	-	User Abuser	2.893	9.3	15	0	1	1.2857	912
McCutchen, Daniel RP PIT	-	Free Agent	4.714	63.0	35	0	3	1.4762	913
Medders, Brandon RP SF	-	Free Agent	3.857	28.0	22	0	2	1.5357	914
Weathers, David RP MIL	-	Free Agent	3.919	20.7	12	0	1	1.3065	918
Monasterios, Carlos RP LAD	-	Free Agent	4.500	44.0	26	0	2	1.4545	922
Adcock, Nate RP KC	-	Free Agent	4.624	60.3	36	1	1	1.4751	924
Litsch, Jesse SP TOR 	-	Free Agent	5.153	43.7	30	0	2	1.3740	926
Nieve, Fernando RP LAD	-	Free Agent	4.443	26.3	20	0	2	1.4430	927
Gaudin, Chad RP WAS 	-	Free Agent	5.009	73.7	67	0	3	1.5339	928
Paulino, Felipe SP KC	-	Orange-a-Tangs	5.170	109.7	103	0	3	1.5319	932
Albers, Matt RP BOS 	-	Free Agent	4.957	69.0	55	0	4	1.5507	934
Mitre, Sergio RP NYY 	-	Free Agent	4.875	48.0	26	0	1	1.3542	935
McGee, Jake RP TB	-	Whiteness	4.320	16.7	16	0	2	1.4400	937
Fogg, Josh RP PHI	-	Free Agent	3.522	15.3	9	0	0	1.1739	938
Vasquez, Esmerling RP MIN	-	Free Agent	4.730	45.7	40	0	2	1.5109	939
Mahay, Ron RP LAD	-	Free Agent	3.857	28.0	22	0	1	1.5000	940
Lyles, Jordan SP HOU	-	Free Agent	5.362	94.0	67	0	2	1.4149	941
Eyre, Willie RP BAL 	-	Free Agent	3.750	12.0	6	0	1	1.1667	943
Romero, J.C. RP STL 	-	Free Agent	3.462	26.0	20	1	1	1.6538	945
Galarraga, Armando SP ARI	-	Free Agent	5.139	110.3	66	0	4	1.4773	946
Runzler, Dan RP SF	-	Free Agent	3.913	23.0	24	0	1	1.5217	949
Hendrickson, Mark RP BAL	-	Free Agent	4.806	63.7	40	0	3	1.5079	950
Rogers, Mark SP MIL	-	Free Agent	1.800	5.0	6	0	0	0.6000	951
Threets, Erick RP CHW	-	Free Agent	0.000	6.0	3	0	0	1.0000	952
Moskos, Daniel RP PIT	-	Free Agent	2.959	24.3	11	0	1	1.5616	953
Looper, Braden SP CHC	-	Free Agent	5.261	65.0	33	0	5	1.4769	954
Arias, Alberto RP HOU	-	Free Agent	3.522	15.3	13	0	1	1.4348	955
Howry, Bob RP CHC	-	Free Agent	4.909	33.0	20	0	1	1.3333	958
Parker, Jarrod SP OAK 	-	Orange-a-Tangs	0.000	5.7	1	0	0	0.8824	959
Demel, Sam RP ARI	-	Free Agent	4.883	31.3	24	1	2	1.5319	964
Daley, Matt RP COL 	-	Free Agent	4.725	26.7	27	0	0	1.3500	965
VandenHurk, Rick RP BAL	-	Free Agent	4.765	28.3	25	0	1	1.4118	969
Braddock, Zach RP MIL	-	Free Agent	4.263	25.3	30	0	0	1.4605	970
Delabar, Steve RP SEA	-	Free Agent	2.571	7.0	7	0	1	1.2857	971
Grabow, John RP CHC 	-	Free Agent	4.556	53.3	38	0	2	1.5375	972
Hamburger, Mark RP TEX	-	Free Agent	4.500	8.0	6	0	1	1.0000	974
Russell, Adam RP ATL	-	Free Agent	3.541	20.3	15	0	1	1.5246	975
Ray, Chris RP SEA	-	Free Agent	5.114	44.0	31	1	3	1.5455	976
Gomez, Jeanmar SP CLE	-	Sofa Kings	4.655	58.0	32	0	4	1.5690	978
Wells, Kip SP CIN	-	Free Agent	5.178	24.3	14	1	1	1.3562	979
Matusz, Brian SP BAL 	-	Free Agent	5.500	90.0	73	0	5	1.5111	980
Pomeranz, Drew SP COL	-	Free Agent	5.400	18.3	13	0	2	1.3091	982
Hill, Shawn SP MIA	-	Free Agent	3.273	11.0	7	0	1	1.3636	984
Varvaro, Anthony RP ATL	-	Free Agent	3.857	14.0	14	0	0	1.2857	986
Stetter, Mitch RP MIL 	-	Free Agent	4.339	18.7	18	0	1	1.4464	991
Bautista, Denny RP SEA	-	Free Agent	4.021	15.7	20	0	1	1.5319	992
Miller, Jim RP COL	-	Free Agent	2.571	7.0	5	0	0	1.0000	995
Delcarmen, Manny RP SEA	-	Free Agent	4.821	37.3	27	0	3	1.5536	996
Carlson, Jesse RP BOS 	-	Free Agent	4.667	27.0	20	0	0	1.3333	997
Furbush, Charlie SP SEA	-	Free Agent	5.484	85.3	67	0	4	1.4883	998
Swarzak, Anthony SP MIN	-	Sofa Kings	5.031	53.7	30	0	2	1.4348	1000
Burton, Jared RP MIN	-	Free Agent	4.030	22.3	16	0	0	1.3881	1001
Below, Duane RP DET	-	Free Agent	4.345	29.0	14	0	0	1.3448	1005
De Fratus, Justin RP PHI	-	Free Agent	2.250	4.0	3	0	1	1.0000	1007
Godfrey, Graham SP OAK	-	Free Agent	3.960	25.0	13	0	1	1.4800	1008
Miley, Wade SP ARI	-	Free Agent	4.500	40.0	25	0	4	1.6500	1012
Perez, Juan RP MIL 	-	Free Agent	3.600	5.0	8	0	1	1.2000	1013
Devine, Joey RP OAK 	-	Free Agent	3.176	11.3	10	0	0	1.3235	1014
Flores, Randy RP SD	-	Free Agent	3.767	14.3	11	0	1	1.4651	1015
Bush, Dave RP PHI	-	Free Agent	5.301	108.7	73	0	4	1.4908	1016
Ruffin, Chance RP SEA	-	Free Agent	4.075	17.7	18	0	1	1.5283	1017
Richmond, Scott RP TOR	-	Free Agent	5.439	46.3	39	0	3	1.4892	1019
Bannister, Brian SP KC	-	Free Agent	5.457	94.0	58	0	5	1.4787	1020
Kazmir, Scott SP LAA	-	Free Agent	5.508	99.7	70	0	6	1.5151	1022
Laffey, Aaron RP TOR 	-	Free Agent	4.325	77.0	39	0	4	1.6234	1023
Hughes, Jared RP PIT	-	Free Agent	4.091	11.0	10	0	0	1.1818	1025
Misch, Pat RP PHI	-	Free Agent	4.542	35.7	17	0	1	1.4299	1026
Balester, Collin RP DET 	-	Free Agent	4.965	29.0	27	0	1	1.4483	1028
Slaten, Doug RP WAS 	-	Free Agent	3.857	21.0	18	0	1	1.5714	1029
Phillips, Zach RP BAL	-	Free Agent	0.000	4.0	4	0	0	1.0000	1030
Jennings, Jason RP OAK	-	Free Agent	3.984	20.3	15	0	1	1.5246	1033
Vizcaino, Arodys RP ATL 	-	Free Agent	4.673	17.3	17	0	1	1.4423	1036
O'Connor, Mike RP NYM	-	Free Agent	2.700	6.7	8	0	0	1.2000	1037
Fisher, Carlos RP CIN	-	Free Agent	4.636	33.0	29	0	1	1.5152	1038
Abreu, Juan RP HOU	-	Free Agent	2.700	6.7	12	0	0	1.3500	1039
Savery, Joe RP PHI	-	Free Agent	0.000	2.7	2	0	0	0.3750	1040
Rodriguez, Fernando RP HOU	-	Free Agent	4.075	17.7	19	0	1	1.5849	1045
Jeffress, Jeremy RP KC	-	Free Agent	4.263	12.7	10	0	1	1.4211	1047
Doubront, Felix RP BOS	-	Free Agent	5.094	17.7	14	2	1	1.6415	1048
Kirkman, Michael RP TEX	-	Free Agent	4.909	22.0	18	0	0	1.3182	1050
Springer, Russ RP CIN	-	Free Agent	4.119	19.7	20	0	0	1.4746	1051
Chavez, Jesse RP KC 	-	Free Agent	5.283	46.0	33	0	2	1.4565	1052
Mathis, Doug RP BOS 	-	Free Agent	4.154	21.7	12	0	0	1.3846	1054
French, Luke SP SEA	-	Free Agent	5.052	51.7	26	0	3	1.4903	1057
Caridad, Esmailin RP CHC	-	Free Agent	3.522	7.7	7	0	0	1.1739	1058
Beck, Chad RP TOR	-	Free Agent	0.000	2.3	3	0	0	0.4286	1059
Milton, Eric SP LAD	-	Free Agent	3.375	8.0	7	0	1	1.5000	1060
Meloan, Jon RP OAK	-	Free Agent	0.000	2.7	4	0	0	0.7500	1061
Gervacio, Sammy RP HOU	-	Free Agent	3.240	8.3	9	0	0	1.3200	1062
Mateo, Marcos RP CHC	-	Free Agent	4.836	22.3	26	0	0	1.4328	1064
Miner, Zach SP KC	-	Free Agent	4.402	30.7	21	0	2	1.5978	1066
Ely, John RP LAD	-	Free Agent	5.432	56.3	44	0	2	1.4556	1069
Smith, Chris RP SEA	-	Free Agent	4.408	16.3	13	0	0	1.3469	1070
Olson, Garrett RP PIT 	-	Free Agent	5.090	40.7	27	0	1	1.4262	1072
Kontos, George RP NYY	-	Free Agent	3.000	6.0	6	0	0	1.1667	1073
Bonine, Eddie RP PHI	-	Free Agent	4.500	34.0	15	0	2	1.5294	1074
West, Sean SP MIA	-	Free Agent	5.018	37.7	26	0	3	1.5664	1076
Kohn, Michael RP LAA	-	Free Agent	4.320	16.7	14	1	1	1.6800	1077
Nelson, Joe RP SEA	-	Free Agent	4.959	16.3	15	1	1	1.5918	1078
Noesi, Hector RP NYY 	-	Free Agent	4.500	28.0	22	0	1	1.5357	1080
Atilano, Luis SP WAS	-	Free Agent	5.062	42.7	20	0	3	1.5000	1084
Meredith, Cla RP WAS	-	Free Agent	4.388	26.7	15	0	1	1.5000	1086
Cameron, Kevin RP OAK	-	Free Agent	3.000	6.0	5	0	0	1.1667	1088
Schwinden, Chris SP NYM	-	Free Agent	4.714	21.0	17	0	0	1.3810	1092
Green, Sean RP MIL	-	Free Agent	4.450	30.3	24	0	0	1.4835	1093
Perez, Luis RP TOR	-	Free Agent	4.959	32.7	27	0	2	1.5612	1100
Horst, Jeremy RP CIN	-	Free Agent	2.935	15.3	9	0	0	1.5652	1101
Takahashi, Ken RP NYM	-	Free Agent	3.000	9.0	8	0	0	1.4444	1103
Sosa, Henry SP HOU	-	Free Agent	5.400	26.7	19	0	2	1.4625	1104
Burke, Greg RP SD	-	Free Agent	4.109	15.3	11	0	1	1.5652	1110
Thompson, Brad RP HOU	-	Free Agent	5.130	33.3	15	0	1	1.3800	1112
Hayhurst, Dirk RP TB	-	Free Agent	2.348	7.7	4	0	0	1.4348	1114
Ray, Robert RP TOR	-	Free Agent	3.857	9.3	5	0	0	1.2857	1118
Rosales, Leo RP ARI	-	Free Agent	5.226	20.7	14	0	1	1.4032	1120
Hamren, Erik RP SD	-	Free Agent	4.378	12.3	10	0	1	1.5405	1121
Rodriguez, Francisco RP LAA 	-	Free Agent	4.402	30.7	22	0	0	1.5000	1123
Jimenez, Cesar RP SEA	-	Free Agent	5.400	6.7	7	0	1	1.3500	1124
Reed, Addison RP CHW 	-	Free Agent	3.682	7.3	12	0	0	1.5000	1127
Dickson, Brandon RP STL	-	Free Agent	3.240	8.3	7	0	0	1.4400	1130
Schwimer, Michael RP PHI	-	Free Agent	5.023	14.3	16	0	1	1.5349	1134
Albaladejo, Jonathan RP NYY 	-	Free Agent	4.696	15.3	10	0	2	1.6304	1135
Smith, Jordan RP CIN	-	Free Agent	4.936	31.0	20	0	2	1.5484	1136
Leach, Brent RP LAD	-	Free Agent	5.400	6.7	6	0	1	1.3500	1137
Rapada, Clay RP BAL	-	Free Agent	5.586	9.7	8	0	1	1.3448	1139
Thomas, Brad RP DET	-	Free Agent	4.500	40.0	18	0	3	1.6250	1142
Jakubauskas, Chris SP BAL	-	Free Agent	5.530	55.3	33	0	3	1.4639	1143
Dillard, Tim RP MIL	-	Free Agent	4.909	11.0	9	0	0	1.2727	1146
Jackson, Steven RP LAD	-	Free Agent	4.500	18.0	9	0	1	1.5000	1148
Murphy, Bill RP TOR	-	Free Agent	2.454	3.7	2	0	0	1.0909	1150
Ni, Fu-Te RP DET	-	Free Agent	4.500	18.0	14	0	0	1.4444	1152
Wright, Wesley RP HOU	-	Free Agent	5.100	30.0	29	0	1	1.5333	1153
Martis, Shairon SP PIT	-	Free Agent	5.337	28.7	11	0	2	1.4302	1156
Sanchez, Romulo RP NYY	-	Free Agent	0.000	2.0	2	0	0	1.0000	1157
Schlichting, Travis RP LAD	-	Free Agent	3.240	8.3	5	0	0	1.4400	1158
Putnam, Zach RP CLE	-	Free Agent	6.136	7.3	9	0	1	1.3636	1159
Redding, Tim SP LAD	-	Free Agent	5.175	40.0	25	0	1	1.4500	1164
Villone, Ron RP WAS	-	Free Agent	4.408	16.3	11	0	2	1.7143	1166
Infante, Gregory RP CHW	-	Free Agent	0.000	2.3	2	0	0	1.2857	1167
Boyer, Blaine RP NYM	-	Free Agent	4.576	39.3	20	0	1	1.5254	1169
Severino, Atahualpa RP WAS	-	Free Agent	3.857	2.3	4	0	0	0.8571	1171
Roenicke, Josh RP COL	-	Free Agent	4.836	22.3	21	0	0	1.4776	1172
Berg, Justin RP CHC	-	Free Agent	4.219	21.3	9	0	0	1.4531	1173
Ekstrom, Mike RP COL 	-	Free Agent	4.500	12.0	10	0	0	1.4167	1175
Marte, Luis RP DET	-	Free Agent	2.454	3.7	3	0	1	1.9091	1176
Ramirez, Ramon RP BOS	-	Free Agent	4.500	4.0	3	0	0	1.0000	1179
Gray, Jeff RP MIN	-	Free Agent	4.500	28.0	15	0	0	1.4643	1180
Bowers, Cedrick RP OAK	-	Free Agent	5.143	7.0	9	0	0	1.2857	1184
Wilk, Adam RP DET	-	Free Agent	5.400	13.3	10	0	0	1.2750	1186
Speier, Justin RP COL	-	Free Agent	5.400	13.3	13	0	1	1.5000	1188
Burnett, Alex RP MIN	-	Free Agent	5.473	49.3	35	0	2	1.4797	1189
Shouse, Brian RP TB	-	Free Agent	4.821	9.3	6	0	0	1.2857	1192
Guardado, Eddie RP TEX	-	Free Agent	4.263	12.7	7	0	0	1.4211	1193
Percival, Troy RP TB	-	Free Agent	7.364	3.7	2	2	0	1.9091	1196
Perdomo, Luis RP MIN	-	Free Agent	4.869	20.3	18	0	0	1.4754	1198
Poreda, Aaron RP SD 	-	Free Agent	2.077	4.3	4	0	0	1.6154	1200
Hampton, Mike RP ARI	-	Free Agent	5.121	38.7	26	0	2	1.5517	1204
Teheran, Julio SP ATL	-	Titty`s Warriors	5.034	19.7	10	0	1	1.4746	1205
Vizcaino, Luis RP CLE	-	Free Agent	3.600	5.0	4	0	0	1.4000	1206
Manuel, Robert RP BOS	-	Free Agent	3.176	5.7	2	0	0	1.4118	1207
Chico, Matt SP LAD	-	Free Agent	3.375	2.7	2	0	0	1.1250	1208
Kintzler, Brandon RP MIL	-	Free Agent	4.909	11.0	12	0	0	1.4545	1210
Sampson, Chris RP HOU	-	Free Agent	5.337	28.7	16	1	2	1.6047	1211
Dolsi, Freddy RP CHW	-	Free Agent	2.454	3.7	1	0	0	1.3636	1212
Lehr, Justin SP CIN	-	Free Agent	5.400	21.7	11	0	2	1.5231	1213
Hughes, Dusty RP ATL	-	Free Agent	4.880	27.7	20	0	1	1.5542	1214
De La Cruz, Frankie RP MIL	-	Free Agent	3.375	5.3	4	0	0	1.5000	1218
Strop, Pedro RP BAL	-	Free Agent	5.400	13.3	14	0	1	1.5750	1219
Parrish, John RP KC	-	Free Agent	3.000	3.0	2	0	0	1.3333	1224
Maloney, Matt RP MIN	-	Free Agent	5.400	26.7	18	0	1	1.4625	1226
MacLane, Evan RP STL	-	Free Agent	0.000	0.7	0	0	0	0.0000	1228
Dolis, Rafael RP CHC	-	Free Agent	0.000	0.7	0	0	0	0.0000	1229
Sadowski, Ryan SP HOU	-	Free Agent	4.821	9.3	6	0	1	1.6071	1230
Talbot, Mitch SP CLE 	-	Free Agent	5.012	111.3	62	0	6	1.5988	1236
Bergmann, Jason RP BOS	-	Free Agent	4.860	16.7	14	0	1	1.6200	1237
Colon, Roman RP LAD	-	Free Agent	5.192	17.3	10	0	1	1.5000	1238
Stults, Eric RP COL 	-	Free Agent	5.226	20.7	13	0	1	1.5000	1240
Tavarez, Julian RP WAS	-	Free Agent	4.629	11.7	11	0	1	1.7143	1242
Wolf, Ross RP HOU	-	Free Agent	4.263	6.3	4	0	0	1.4211	1244
Waters, Chris SP MIL	-	Free Agent	4.500	4.0	2	0	0	1.2500	1245
Fossum, Casey RP CHC	-	Free Agent	0.000	1.3	1	0	0	1.5000	1246
Mortensen, Clayton SP COL	-	Free Agent	5.116	31.7	17	0	1	1.4842	1253
Seddon, Chris RP SEA	-	Free Agent	5.559	11.3	8	0	0	1.3235	1260
Schmidt, Jason SP LAD	-	Free Agent	6.000	6.0	3	0	1	1.5000	1262
Oliveros, Lester RP MIN	-	Free Agent	4.641	21.3	13	0	0	1.5000	1264
