All Utility Players 3 Year Averages MLB Standard Stats																	
Player	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Value
Snelling, Chris LF PIT	Free Agent	56	8	14	8	3	1	2	5	9	18	1	1	0.2500	0.3731	0.4464	887
Rivas, Luis SS CHC	Free Agent	108	14	24	17	3	2	2	12	6	14	2	1	0.2222	0.2632	0.3426	888
Freeman, Choo CF LA	Free Agent	58	8	14	10	2	1	1	6	5	14	2	2	0.2414	0.3016	0.3621	889
Callaspo, Alberto 2B KC 	Free Agent	133	11	35	28	6	1	0	10	11	11	1	1	0.2632	0.3172	0.3233	890
Patterson, Eric 2B OAK 	Free Agent	69	8	14	12	2	0	0	8	8	20	5	0	0.2029	0.2857	0.2319	891
Velandia, Jorge SS PHI	Free Agent	32	4	10	7	2	0	1	6	4	10	0	0	0.3125	0.3889	0.4688	892
Diaz, Victor RF BAL	Free Agent	38	4	9	4	2	0	3	9	0	13	0	0	0.2368	0.2564	0.5263	893
Abreu, Tony 3B LA	Free Agent	83	10	22	14	7	0	1	8	4	10	0	0	0.2651	0.3111	0.3855	901
Morse, Mike RF WAS	Free Agent	23	2	9	6	3	0	0	5	2	5	0	0	0.3913	0.4444	0.5217	902
Martinez, Ramon E. 2B NYM 	Free Agent	107	10	26	20	5	0	1	18	9	13	0	0	0.2430	0.2966	0.3178	905
Sweeney, Mark 1B LA	Free Agent	158	18	36	24	9	1	2	18	19	36	1	0	0.2278	0.3167	0.3354	906
Adams, Russ 3B TOR	Free Agent	104	15	23	15	6	0	2	13	10	18	1	1	0.2212	0.2870	0.3365	909
Hall, Toby C HOU	Free Agent	174	11	43	32	8	0	3	14	6	18	0	1	0.2471	0.2732	0.3448	912
Bailey, Jeff 1B BOS 	Free Agent	30	6	8	6	0	0	2	4	4	9	0	0	0.2667	0.3529	0.4667	914
Terrero, Luis LF BAL	Free Agent	52	7	12	9	1	0	2	6	4	14	1	2	0.2308	0.3220	0.3654	919
Fahey, Brandon SS TOR	Free Agent	137	18	31	22	6	2	1	12	9	27	2	1	0.2263	0.2789	0.3212	922
McPherson, Dallas 3B SF	Free Agent	42	6	11	7	2	0	2	4	3	15	0	0	0.2619	0.3111	0.4524	923
Murphy, Donnie 3B BAL	Free Agent	74	10	15	8	4	0	3	11	7	24	1	0	0.2027	0.2771	0.3784	924
Niekro, Lance 1B HOU	Free Agent	72	9	17	11	3	1	2	10	4	12	0	0	0.2361	0.2763	0.3889	925
Holm, Steve C SF	Free Agent	84	10	22	12	9	0	1	6	10	16	0	1	0.2619	0.3571	0.4048	926
Hanigan, Ryan C CIN 	Free Agent	48	6	13	10	2	0	1	6	6	6	0	0	0.2708	0.3750	0.3750	928
Mathis, Jeff C ANA	Free Agent	170	23	33	21	7	0	5	24	17	51	1	1	0.1941	0.2708	0.3235	929
Wilson, Josh SS SEA	Free Agent	94	9	22	15	5	1	1	8	6	19	2	1	0.2340	0.2913	0.3404	933
Bowen, Rob C OAK	Free Agent	114	16	25	15	7	0	3	13	15	42	0	1	0.2193	0.3130	0.3596	935
Ellison, Jason J. LF PHI	Free Agent	63	12	14	11	2	0	1	3	4	14	2	2	0.2222	0.2794	0.3016	938
Ishikawa, Travis 1B SF	Free Agent	40	4	11	7	3	0	1	6	3	11	0	0	0.2750	0.3256	0.4250	941
Ramirez, Max C TEX	Free Agent	46	8	10	7	1	0	2	9	6	15	0	0	0.2174	0.3455	0.3696	943
LaHair, Bryan 1B SEA	Free Agent	68	8	17	13	2	0	2	5	6	20	0	0	0.2500	0.3108	0.3676	945
Wood, Jason 1B FLA	Free Agent	44	5	11	7	3	0	1	9	3	14	0	0	0.2500	0.2979	0.3864	947
Johnson, Ben J. LF NYM	Free Agent	49	7	12	8	2	1	1	4	5	16	1	0	0.2449	0.3148	0.3878	948
Jimerson, Charlton RF SEA	Free Agent	3	3	1	0	0	0	1	1	0	1	1	0	0.3333	0.3333	1.3333	949
Haynes, Nathan RF TEX	Free Agent	44	6	11	11	0	0	0	2	3	12	2	2	0.2500	0.2979	0.2500	954
Cancel, Robinson C NYM	Free Agent	49	5	12	9	2	0	1	5	3	6	1	2	0.2449	0.2885	0.3469	957
Bennett, Gary C LA	Free Agent	111	9	26	20	4	0	2	14	7	15	0	0	0.2342	0.2773	0.3243	959
Carter, Chris C. DH BOS	Free Agent	18	5	6	6	0	0	0	3	2	5	0	0	0.3333	0.4000	0.3333	960
Orr, Pete SS WAS 	Free Agent	98	14	24	20	2	2	0	6	3	20	1	1	0.2449	0.2673	0.3061	963
Marson, Lou C CLE	Free Agent	4	2	2	1	0	0	1	2	0	2	0	0	0.5000	0.5000	1.2500	969
McClain, Scott 1B SF	Free Agent	22	4	6	5	0	0	1	4	2	5	0	0	0.2727	0.3333	0.4091	971
Young, Delwyn LF PIT	Free Agent	55	5	15	11	3	0	1	3	5	13	0	0	0.2727	0.3333	0.3818	976
Gomez, Alexis LF DET	Free Agent	34	6	9	6	2	1	0	2	2	7	1	0	0.2647	0.3056	0.3824	978
Jones, Brandon LF ATL	Free Agent	68	8	17	11	6	0	0	10	4	18	0	0	0.2500	0.2973	0.3382	979
Petit, Gregorio SS OAK	Free Agent	23	4	8	6	2	0	0	0	2	9	0	0	0.3478	0.4000	0.4348	980
Hernandez, Luis A. SS KC	Free Agent	49	5	13	12	1	0	0	3	3	7	1	1	0.2653	0.3019	0.2857	981
Bernadina, Roger CF WAS 	Free Agent	76	10	16	14	1	1	0	2	9	21	4	3	0.2105	0.2941	0.2500	983
Kata, Matt 2B HOU	Free Agent	79	10	18	12	4	0	2	8	2	16	0	0	0.2278	0.2561	0.3544	984
Munson, Eric C OAK	Free Agent	91	8	20	14	3	0	3	11	9	16	0	0	0.2198	0.2941	0.3516	986
Roberson, Chris LF ARI	Free Agent	23	5	5	5	0	0	0	1	0	4	2	0	0.2174	0.2174	0.2174	990
Ka'aihue, Kila DH KC	Free Agent	21	4	6	5	0	0	1	1	3	2	0	0	0.2857	0.3750	0.4286	991
Maxwell, Justin CF WAS	Free Agent	13	2	4	3	0	0	1	2	0	4	0	0	0.3077	0.3077	0.5385	992
Jimenez, D'Angelo 2B STL	Free Agent	58	7	13	9	3	0	1	6	12	12	1	0	0.2241	0.3571	0.3276	997
Thigpen, Curtis C OAK	Free Agent	59	8	14	12	2	0	0	6	4	12	1	0	0.2373	0.2857	0.2712	998
Castro, Bernie 2B NYY	Free Agent	37	6	8	7	0	1	0	3	3	6	2	1	0.2162	0.2750	0.2703	999
Horwitz, Brian RF SF	Free Agent	36	5	8	6	0	0	2	4	5	10	0	0	0.2222	0.3095	0.3889	1006
Hernandez, Anderson 2B NYM	Free Agent	50	5	13	11	2	0	0	7	4	7	0	0	0.2600	0.3148	0.3000	1007
Harper, Brandon C WAS	Free Agent	14	2	4	2	1	0	1	2	1	1	0	0	0.2857	0.3333	0.5714	1011
Moore, Scott 3B BAL	Free Agent	33	3	8	6	1	0	1	6	1	10	0	0	0.2424	0.2571	0.3636	1012
Hollimon, Michael SS DET	Free Agent	23	4	6	2	2	1	1	2	1	6	0	0	0.2609	0.2800	0.5652	1013
Riggans, Shawn C TB	Free Agent	58	8	12	7	3	0	2	9	5	13	0	0	0.2069	0.2656	0.3621	1015
Clevlen, Brent CF DET	Free Agent	24	5	6	4	0	1	1	2	2	10	0	0	0.2500	0.3077	0.4583	1016
Rabe, Josh LF MIN	Free Agent	27	3	7	6	0	0	1	3	1	6	0	0	0.2593	0.2857	0.3704	1018
Jorgensen, Ryan W. C CIN	Free Agent	8	2	2	1	0	0	1	3	0	2	0	0	0.2500	0.2500	0.6250	1019
Getz, Chris 2B CHW 	Free Agent	7	2	2	2	0	0	0	1	0	1	1	1	0.2857	0.2857	0.2857	1021
Sledge, Terrmel LF SD	Free Agent	90	10	19	12	4	0	3	10	12	26	0	1	0.2111	0.3077	0.3556	1022
Denker, Travis 2B BOS	Free Agent	37	6	9	3	4	1	1	3	5	10	0	0	0.2432	0.3333	0.4865	1023
Pena, Brayan C KC 	Free Agent	29	5	7	5	1	0	1	3	1	3	0	0	0.2414	0.2667	0.3793	1025
Fiorentino, Jeff CF BAL	Free Agent	13	3	4	3	1	0	0	3	2	1	0	0	0.3077	0.4000	0.3846	1026
Sardinha, Bronson OF DET	Free Agent	4	3	2	2	0	0	0	1	1	0	0	0	0.5000	0.6000	0.5000	1029
Botts, Jason 1B TEX	Free Agent	85	10	19	12	5	0	2	8	12	32	0	0	0.2235	0.3232	0.3529	1030
Castillo, Wilkin OF CIN 	Free Agent	32	6	9	8	1	0	0	1	1	5	0	0	0.2812	0.3030	0.3125	1031
Rodriguez, Guillermo C BAL	Free Agent	44	5	11	8	3	0	0	7	5	8	0	0	0.2500	0.3265	0.3182	1034
Stocker, Mel R. OF MIL	Free Agent	2	0	0	0	0	0	0	0	0	0	2	0	0.0000	0.0000	0.0000	1037
Ojeda, Miguel C TEX	Free Agent	29	2	7	4	2	0	1	5	3	6	0	0	0.2414	0.3125	0.4138	1041
Marte, Andy 3B CLE 	Free Agent	152	15	33	19	10	1	3	16	10	33	0	1	0.2171	0.2699	0.3553	1042
Thompson, Kevin RF PIT	Free Agent	22	3	5	3	2	0	0	3	3	7	1	0	0.2273	0.3200	0.3182	1045
Stansberry, Craig 2B SD	Free Agent	8	2	3	3	0	0	0	1	1	2	0	0	0.3750	0.4444	0.3750	1047
Matos, Luis OF MIN	Free Agent	45	5	9	5	3	0	1	2	3	8	2	0	0.2000	0.2653	0.3333	1049
Whitesell, Josh 1B ARI	Free Agent	7	1	2	1	0	0	1	1	1	2	0	0	0.2857	0.4444	0.7143	1050
Wood, Brandon 3B ANA	Free Agent	92	7	18	13	2	0	3	8	2	28	2	0	0.1957	0.2128	0.3152	1051
Palmeiro, Orlando LF HOU	Free Agent	74	8	18	15	3	0	0	8	7	8	0	1	0.2432	0.3171	0.2838	1052
Rabelo, Mike C FLA	Free Agent	93	8	22	16	4	1	1	9	5	22	0	0	0.2366	0.2871	0.3333	1053
Morales, Jose C MIN 	Free Agent	2	0	2	2	0	0	0	0	0	0	0	0	1.0000	1.0000	1.0000	1054
Robinson, Kerry OF BOS	Free Agent	21	3	6	5	1	0	0	2	0	2	0	0	0.2857	0.2857	0.3333	1056
Balentien, Wladimir RF CIN	Free Agent	82	8	17	9	5	0	3	9	5	26	0	0	0.2073	0.2500	0.3780	1058
Watkins, Tommy 3B MIN	Free Agent	14	1	5	5	0	0	0	0	2	2	0	0	0.3571	0.4375	0.3571	1061
Gonzalez, Alberto SS WAS	Free Agent	58	8	14	10	4	0	0	6	4	8	0	1	0.2414	0.2903	0.3103	1062
Escobar, Alcides SS MIL 	Lazy Pukes	4	2	2	2	0	0	0	0	0	1	0	0	0.5000	0.5000	0.5000	1063
Paul, Josh C TB	Free Agent	84	8	19	14	4	0	1	6	7	23	1	1	0.2262	0.2857	0.3095	1064
Ruggiano, Justin LF TB	Free Agent	45	6	9	6	2	0	1	5	2	16	1	0	0.2000	0.2340	0.3111	1065
Lillibridge, Brent SS CHW	Free Agent	80	9	16	8	6	1	1	8	3	23	2	0	0.2000	0.2381	0.3375	1068
Hattig, John 3B NYM	Free Agent	8	1	3	3	0	0	0	1	2	3	0	0	0.3750	0.5000	0.3750	1070
Tiffee, Terry OF PHI 	Free Agent	16	1	4	3	0	0	1	2	1	3	0	0	0.2500	0.2941	0.4375	1071
Bocachica, Hiram RF SD	Free Agent	31	5	6	4	1	0	1	2	3	7	1	1	0.1935	0.2647	0.3226	1077
Perez, Neifi SS DET	Free Agent	122	12	28	21	6	0	1	12	4	11	0	0	0.2295	0.2520	0.3033	1079
Rodriguez, Sean 2B ANA	Free Agent	167	18	34	22	8	1	3	10	14	55	3	1	0.2036	0.2757	0.3174	1081
Macias, Drew OF SD	Free Agent	10	2	2	1	0	0	1	2	1	3	0	0	0.2000	0.2500	0.5000	1082
Reese, Kevin LF NYY	Free Agent	4	1	2	2	0	0	0	0	0	0	0	0	0.5000	0.5000	0.5000	1083
Murphy, Tommy CF KC	Free Agent	36	5	8	6	2	0	0	3	2	10	1	0	0.2222	0.2632	0.2778	1084
Sanchez, Gaby 1B FLA 	Free Agent	8	0	3	1	2	0	0	1	0	2	0	0	0.3750	0.3750	0.6250	1090
Johnson, Mark L. C CHC	Free Agent	17	1	5	5	0	0	0	2	1	2	0	0	0.2941	0.3333	0.2941	1091
Maier, Mitch CF KC 	Free Agent	35	4	9	9	0	0	0	3	1	7	0	1	0.2571	0.2973	0.2571	1092
Huber, Justin LF MIN	Free Agent	27	3	6	4	1	0	1	3	1	8	0	0	0.2222	0.2759	0.3704	1097
Santos, Chad 1B SF	Free Agent	2	1	1	1	0	0	0	1	0	1	0	0	0.5000	0.5000	0.5000	1099
Saccomanno, Mark 1B HOU	Free Agent	10	1	2	0	1	0	1	2	0	3	0	0	0.2000	0.2000	0.6000	1100
Melhuse, Adam C TEX	Free Agent	84	7	18	12	4	0	2	10	6	25	0	0	0.2143	0.2747	0.3333	1103
Gonzalez, Luis A. 2B COL	Free Agent	50	2	12	8	3	0	1	5	1	9	0	0	0.2400	0.2692	0.3600	1106
Miranda, Juan 1B NYY	Free Agent	5	1	2	2	0	0	0	0	1	2	0	0	0.4000	0.5000	0.4000	1108
Quintanilla, Omar 2B COL	Free Agent	105	12	24	16	7	0	1	8	8	23	0	0	0.2286	0.2832	0.3238	1111
Reyes, Argenis 2B NYM	Free Agent	110	13	24	23	0	0	1	3	4	20	2	0	0.2182	0.2586	0.2455	1117
Phillips, Paul C COL	Free Agent	27	3	7	6	1	0	0	2	1	3	0	0	0.2593	0.2857	0.2963	1118
Diaz, Einar C PIT	Free Agent	1	0	1	1	0	0	0	0	0	0	0	0	1.0000	1.0000	1.0000	1120
Navarro, Oswaldo SS SEA	Free Agent	1	0	1	1	0	0	0	0	0	0	0	0	1.0000	1.0000	1.0000	1121
Tupman, Matt C ARI	Free Agent	1	0	1	1	0	0	0	0	0	0	0	0	1.0000	1.0000	1.0000	1122
Mirabelli, Doug C BOS	Free Agent	99	7	19	12	3	0	4	14	9	33	0	0	0.1919	0.2727	0.3434	1124
Koshansky, Joe 1B MIL	Free Agent	25	2	4	0	2	0	2	5	2	11	0	0	0.1600	0.2222	0.4800	1125
McAnulty, Paul LF COL	Free Agent	63	6	13	8	3	0	2	7	10	18	0	0	0.2063	0.3243	0.3492	1126
Cash, Kevin C NYY	Free Agent	84	6	18	12	4	0	2	10	11	32	0	0	0.2143	0.2990	0.3333	1128
Romero, Alex RF ARI 	Free Agent	45	4	10	6	3	1	0	4	1	7	1	0	0.2222	0.2391	0.3333	1129
Griffin, John-Ford LF CHC	Free Agent	3	1	1	1	0	0	0	1	1	2	0	0	0.3333	0.5000	0.3333	1132
Baisley, Jeff 3B OAK	Free Agent	43	1	11	10	1	0	0	5	4	7	0	0	0.2558	0.3191	0.2791	1133
Cannizaro, Andy SS CHW	Free Agent	3	2	1	1	0	0	0	0	0	0	0	0	0.3333	0.3333	0.3333	1134
Laforest, Pete C PHI	Free Agent	12	3	3	3	0	0	0	1	2	4	0	0	0.2500	0.3571	0.2500	1135
De La Rosa, Tomas SS SF	Free Agent	5	0	2	2	0	0	0	0	0	1	0	0	0.4000	0.4000	0.4000	1136
Diaz, Robinzon C PIT	Free Agent	5	0	2	2	0	0	0	0	0	1	0	0	0.4000	0.4000	0.4000	1137
Vento, Mike OF WAS	Free Agent	6	1	2	2	0	0	0	0	1	2	0	0	0.3333	0.4286	0.3333	1140
Nieves, Wil C WAS	Free Agent	81	7	19	15	4	0	0	9	5	13	0	0	0.2346	0.2759	0.2840	1141
Van Every, Jonathan CF BOS	Free Agent	17	0	4	3	0	1	0	5	1	6	0	0	0.2353	0.2778	0.3529	1142
Quintero, Humberto C HOU	Free Agent	81	7	19	15	3	0	1	5	3	17	0	0	0.2346	0.2791	0.3086	1143
Cortez, Fernando 2B CHW	Free Agent	7	2	2	2	0	0	0	0	0	0	0	0	0.2857	0.2857	0.2857	1144
Watson, Brandon OF ARI	Free Agent	15	1	3	3	0	0	0	1	1	1	1	1	0.2000	0.2500	0.2000	1146
Chavez, Raul C TOR	Free Agent	48	4	12	11	1	0	0	3	2	6	0	0	0.2500	0.2800	0.2708	1148
Blanco, Andres SS CHC 	Free Agent	29	3	7	6	1	0	0	3	2	5	0	0	0.2414	0.2903	0.2759	1149
Gamel, Mat 3B MIL	Free Agent	2	0	1	0	1	0	0	0	0	1	0	0	0.5000	0.5000	1.0000	1150
Woodward, Chris 3B BOS	Free Agent	119	14	25	18	5	1	1	11	11	28	1	0	0.2101	0.2748	0.2941	1158
Crosby, Bubba RF SEA	Free Agent	29	3	6	5	1	0	0	2	1	7	1	0	0.2069	0.2581	0.2414	1159
Hu, Chin-lung SS LA	Free Agent	72	10	14	10	1	2	1	7	6	16	1	0	0.1944	0.2564	0.3056	1161
Andino, Robert 2B BAL	Free Agent	33	2	7	5	1	0	1	4	2	10	0	0	0.2121	0.2500	0.3333	1165
Aubrey, Michael 1B BAL	Free Agent	15	1	3	2	0	0	1	1	2	2	0	0	0.2000	0.2941	0.4000	1166
Heintz, Chris J. C BAL	Free Agent	19	0	5	5	0	0	0	2	1	4	0	0	0.2632	0.3000	0.2632	1172
Furmaniak, J.J. SS PHI	Free Agent	8	2	2	2	0	0	0	0	2	4	0	0	0.2500	0.4545	0.2500	1174
Aguila, Chris OF NYM	Free Agent	36	2	8	5	3	0	0	2	4	10	1	0	0.2222	0.3000	0.3056	1178
Valdez, Wilson SS NYM	Free Agent	37	6	8	7	1	0	0	4	2	6	0	0	0.2162	0.2564	0.2432	1179
Rose, Mike C COL	Free Agent	3	0	1	1	0	0	0	0	0	1	0	0	0.3333	0.3333	0.3333	1181
Bourgeois, Jason 2B MIL 	Free Agent	3	0	1	0	1	0	0	0	0	0	0	0	0.3333	0.3333	0.6667	1182
Valbuena, Luis 2B CLE	Free Agent	49	6	12	7	5	0	0	1	4	11	0	0	0.2449	0.3148	0.3469	1186
Towles, J.R. C HOU	Free Agent	93	10	18	11	5	0	2	14	10	20	0	0	0.1935	0.2991	0.3118	1188
Torres, Eider SS CHW	Free Agent	4	1	1	1	0	0	0	0	0	1	0	0	0.2500	0.2500	0.2500	1189
Guzman, Freddy CF BAL	Free Agent	4	1	1	1	0	0	0	0	0	1	0	0	0.2500	0.2500	0.2500	1190
Nelson, Brad J. 1B SEA	Free Agent	7	0	2	0	2	0	0	0	1	0	0	0	0.2857	0.3750	0.5714	1191
Bohn, T.J. RF PHI	Free Agent	6	1	1	1	0	0	0	2	1	3	0	0	0.1667	0.2857	0.1667	1192
Castro, Juan SS LA	Free Agent	167	13	37	27	7	1	2	16	9	28	0	1	0.2216	0.2584	0.3114	1193
Rogers, Ed SS ARI	Free Agent	8	0	2	2	0	0	0	1	0	1	0	0	0.2500	0.2500	0.2500	1196
Rottino, Vinny OF LA	Free Agent	8	0	2	1	1	0	0	1	0	1	0	0	0.2500	0.2500	0.3750	1197
Bigbie, Larry LF LA	Free Agent	8	1	2	2	0	0	0	0	1	3	0	0	0.2500	0.3333	0.2500	1198
Gil, Jerry SS CIN	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1201
Basak, Chris 3B MIN	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1202
Leone, Justin 3B NYY	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1203
Esposito, Brian C HOU	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1204
Loewen, Adam OF TOR 	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1205
Cruz, Enrique SS CIN	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1206
Melillo, Kevin 2B TOR	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1207
House, J.R. C KC	Free Agent	17	2	3	1	1	0	1	1	0	5	0	0	0.1765	0.2222	0.4118	1208
Fasano, Sal C COL	Free Agent	93	7	20	12	6	0	2	8	4	32	0	0	0.2151	0.2700	0.3441	1210
De Aza, Alejandro CF FLA	Free Agent	72	7	16	11	4	1	0	4	3	18	1	0	0.2222	0.2500	0.3056	1211
Golson, Greg OF TEX	Free Agent	6	2	0	0	0	0	0	0	0	4	1	0	0.0000	0.0000	0.0000	1212
Putnam, Danny CF SD	Free Agent	14	2	3	3	0	0	0	1	2	6	0	0	0.2143	0.3125	0.2143	1219
Mottola, Chad LF TOR	Free Agent	5	1	1	0	1	0	0	0	0	1	0	0	0.2000	0.2000	0.4000	1220
Hernandez, Michel C TB	Free Agent	5	1	1	1	0	0	0	0	0	1	0	0	0.2000	0.2000	0.2000	1221
Gillaspie, Conor M. 3B SF	Free Agent	5	1	1	1	0	0	0	0	2	0	0	0	0.2000	0.4286	0.2000	1222
Figueroa, Luis R. 2B ANA	Free Agent	5	1	1	1	0	0	0	0	0	1	0	0	0.2000	0.2000	0.2000	1223
Maza, Luis 2B LA	Free Agent	79	7	18	16	1	0	1	4	5	11	0	0	0.2278	0.2824	0.2785	1225
Cruz, Luis SS PIT	Free Agent	34	3	8	6	2	0	0	2	2	1	0	0	0.2353	0.2973	0.2941	1226
Closser, J.D. C CHC	Free Agent	32	3	6	4	1	0	1	4	4	8	0	0	0.1875	0.2778	0.3125	1227
Knott, Jon OF MIN	Free Agent	6	1	1	1	0	0	0	1	1	1	0	0	0.1667	0.2857	0.1667	1228
Lucy, Donny C CHW	Free Agent	8	0	2	2	0	0	0	0	0	3	0	0	0.2500	0.2500	0.2500	1229
Mahar, Kevin OF PHI	Free Agent	9	1	2	2	0	0	0	0	0	4	0	0	0.2222	0.2222	0.2222	1234
Sanchez, Angel SS TOR	Free Agent	9	1	2	2	0	0	0	0	0	1	0	0	0.2222	0.2222	0.2222	1235
Jones, Garrett 1B PIT 	Free Agent	26	2	5	3	1	0	1	2	2	7	0	0	0.1923	0.2500	0.3462	1236
Guzman, Joel 1B WAS	Titty`s Warriors	19	2	4	3	0	1	0	2	2	4	0	0	0.2105	0.2857	0.3158	1237
Gorneault, Nick RF TOR	Free Agent	1	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1238
DeCaster, Yurendell 2B NYY	Free Agent	1	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1239
Hooper, Kevin 2B HOU	Free Agent	1	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1240
Abad, Andy A. OF MIL	Free Agent	1	0	0	0	0	0	0	0	1	0	0	0	0.0000	0.5000	0.0000	1241
Barker, Sean CF COL	Free Agent	1	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1242
Gimenez, Hector C PIT	Free Agent	1	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1243
Miller, Jai CF FLA	Free Agent	1	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1244
Jaso, John C TB	Free Agent	10	2	2	2	0	0	0	0	0	2	0	0	0.2000	0.2000	0.2000	1245
Herrera, Jon 2B COL	Free Agent	30	2	7	7	0	0	0	2	2	5	0	0	0.2333	0.2812	0.2333	1247
Reyes, Jose A. C BAL	Free Agent	2	0	0	0	0	0	0	1	0	1	0	0	0.0000	0.0000	0.0000	1248
Tracy, Andy 3B PHI	Free Agent	2	0	0	0	0	0	0	1	1	1	0	0	0.0000	0.2500	0.0000	1249
Hammock, Robby C BAL	Free Agent	30	3	7	6	1	0	0	1	3	5	0	0	0.2333	0.3235	0.2667	1252
Nelson, John OF ATL	Free Agent	2	1	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1254
Mohr, Dustan LF TB	Free Agent	19	2	3	2	0	0	1	2	1	9	0	0	0.1579	0.2000	0.3158	1255
Sandoval, Danny SS COL	Free Agent	13	0	3	3	0	0	0	1	1	1	0	0	0.2308	0.2857	0.2308	1256
Rosales, Adam 3B CIN	Free Agent	29	0	6	5	1	0	0	2	1	4	1	0	0.2069	0.2333	0.2414	1257
Quiroz, Guillermo C SEA	Free Agent	49	4	10	7	2	0	1	5	4	13	0	0	0.2041	0.2642	0.3061	1260
Fuld, Sam CF CHC	Free Agent	3	2	0	0	0	0	0	0	2	2	0	0	0.0000	0.4000	0.0000	1261
Iribarren, Hernan 2B MIL	Free Agent	5	0	1	1	0	0	0	0	0	1	0	0	0.2000	0.2000	0.2000	1262
Meyer, Drew SS HOU	Free Agent	5	0	1	1	0	0	0	0	0	3	0	0	0.2000	0.2000	0.2000	1263
Edwards, Mike LF PIT	Free Agent	5	0	1	1	0	0	0	0	0	2	0	0	0.2000	0.2000	0.2000	1264
Gall, John 1B HOU	Free Agent	5	0	1	1	0	0	0	0	0	2	0	0	0.2000	0.2000	0.2000	1265
Olmedo, Ray SS TB	Free Agent	32	4	7	5	2	0	0	2	2	4	0	0	0.2188	0.2647	0.2812	1266
Pridie, Jason OF MIN	Free Agent	4	3	0	0	0	0	0	0	1	1	0	0	0.0000	0.2000	0.0000	1268
Dorta, Melvin SS PIT	Free Agent	6	1	1	1	0	0	0	0	0	1	0	1	0.1667	0.1667	0.1667	1269
Barker, Kevin 1B CIN 	Free Agent	6	1	1	1	0	0	0	0	0	3	0	0	0.1667	0.1667	0.1667	1270
Maldonado, Carlos L. C BOS	Free Agent	14	1	2	1	0	0	1	1	2	6	0	0	0.1429	0.2500	0.3571	1272
Stern, Adam RF MIL	Free Agent	7	1	1	1	0	0	0	1	0	1	0	0	0.1429	0.1429	0.1429	1273
Fox, Jake 1B CHC 	Free Agent	7	2	1	0	1	0	0	0	0	1	0	0	0.1429	0.1429	0.2857	1274
Hoover, Paul C PHI	Free Agent	18	1	4	4	0	0	0	1	1	6	0	0	0.2222	0.2632	0.2222	1276
DiFelice, Mike C TB	Free Agent	28	2	6	5	1	0	0	3	3	8	0	0	0.2143	0.3125	0.2500	1278
Brazell, Craig 1B BAL	Free Agent	2	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1280
Timpner, Clay OF SF	Free Agent	2	0	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1281
Clark, Doug OF ATL	Free Agent	2	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1282
Knoedler, Justin C FLA	Free Agent	2	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1283
Colina, Alvin C ATL	Free Agent	2	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1284
Bellorin, Edwin C COL	Free Agent	2	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1285
Kottaras, George C BOS 	Free Agent	2	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1286
Hulett, Tug DH KC 	Free Agent	49	2	11	9	1	0	1	2	5	17	0	0	0.2245	0.3091	0.3061	1288
Perez, Tomas 2B COL	Free Agent	84	10	18	13	4	0	1	5	2	15	0	0	0.2143	0.2299	0.2976	1293
Brown, Adrian RF TEX	Free Agent	12	2	2	2	0	0	0	1	1	3	0	0	0.1667	0.2308	0.1667	1294
Anderson, Drew T. LF MIL	Free Agent	3	1	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1295
Ellis, A.J. C LA	Free Agent	3	1	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1296
Montz, Luke C WAS	Free Agent	21	2	3	2	0	0	1	3	5	9	0	0	0.1429	0.3077	0.2857	1300
Perry, Jason OF ATL	Free Agent	6	0	1	1	0	0	0	0	0	1	0	0	0.1667	0.1667	0.1667	1301
