All Players 3 Year Averages MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Value
Lieber, Jon SP CHC	Free Agent	97.7	13.3	5	1	5	7	0	0	60	17	115	4.70	1.35	580
Vizcaino, Luis RP CLE	Free Agent	62.3	0.0	0	0	4	3	0	0	61	30	55	4.33	1.36	583
Sanchez, Anibal SP FLA  	Free Agent	65.3	11.0	5	1	5	3	0	0	45	31	62	3.86	1.42	585
Hennessey, Brad RP BAL	Free Agent	69.3	5.3	2	0	3	4	7	0	34	27	74	4.67	1.46	586
Arredondo, Jose RP ANA	Free Agent	20.3	0.0	0	0	3	1	0	0	18	7	14	1.77	1.03	590
Park, Chan Ho SP PHI	Free Agent	78.7	9.0	4	0	4	4	1	0	60	27	83	4.46	1.40	592
Lewis, Scott SP CLE	Free Agent	24.0	4.0	2	0	4	0	0	0	15	6	20	2.62	1.08	593
Acosta, Manny RP ATL 	Free Agent	38.3	0.0	0	0	2	3	2	0	26	20	30	3.29	1.30	595
Crain, Jesse RP MIN	Free Agent	52.0	0.0	0	0	3	4	0	0	40	15	53	3.81	1.31	596
Lincoln, Mike RP CIN 	Free Agent	70.3	0.0	0	0	2	5	0	0	57	24	66	4.48	1.28	598
Guardado, Eddie RP TEX 	Free Agent	35.7	0.0	0	0	2	2	6	0	27	12	37	4.54	1.37	599
Hanrahan, Joel RP PIT	Free Agent	67.7	5.5	1	0	6	3	4	0	68	40	66	4.79	1.57	602
Hawkins, LaTroy RP HOU	Free Agent	59.3	0.0	0	0	3	3	0	0	35	18	59	3.94	1.30	603
Dotel, Octavio RP CHW	Free Agent	36.0	0.0	0	0	2	2	4	0	47	17	33	4.50	1.39	605
Peralta, Joel RP COL	Free Agent	71.3	0.0	0	0	1	3	1	0	54	17	74	4.54	1.28	607
Villarreal, Oscar RP KC	Free Agent	68.7	1.3	0	0	4	2	0	0	45	25	70	4.06	1.38	609
Balfour, Grant RP TB	Free Agent	27.7	0.0	0	0	2	1	1	0	37	15	19	3.25	1.23	610
Hendrickson, Mark SP BAL	Free Agent	140.3	19.7	6	0	6	10	0	0	91	46	154	4.87	1.43	613
Grilli, Jason RP TEX	Free Agent	72.3	0.0	0	0	3	3	0	0	54	32	70	3.98	1.41	614
Lowry, Noah SP SF 	Free Agent	105.0	17.7	9	1	7	6	0	0	57	48	107	4.37	1.48	617
Marshall, Sean SP CHC	Free Agent	98.0	16.7	7	0	5	7	0	0	67	39	100	4.59	1.42	618
Frasor, Jason RP TOR	Free Agent	51.3	0.0	0	0	2	3	1	0	51	24	43	4.38	1.31	619
Pelfrey, Mike SP NYM  	Free Agent	98.3	16.3	8	1	6	7	0	0	56	38	106	4.30	1.46	620
Coke, Phil RP NYY	Free Agent	14.7	0.0	0	0	1	0	0	0	14	2	8	0.61	0.68	621
Ohman, Will RP LA 	Free Agent	53.3	0.0	0	0	2	2	1	0	53	24	48	4.22	1.35	622
Ramirez, Ramon A. SP CIN	Free Agent	27.0	4.0	3	0	1	1	0	0	21	11	17	2.67	1.04	624
Sanchez, Duaner RP SD	Free Agent	38.0	0.0	0	0	3	1	0	0	29	16	32	3.55	1.26	625
Riske, David RP MIL 	Free Agent	52.0	0.0	0	0	1	3	2	0	36	23	49	3.63	1.38	627
Miller, Trever RP STL	Free Agent	46.7	0.0	0	0	1	1	1	0	49	19	42	4.05	1.31	628
Lopez, Javier RP BOS	Free Agent	39.0	0.0	0	0	2	0	0	0	25	18	34	2.77	1.33	630
Francisco, Frank RP TEX 	Evil Empire	43.3	0.0	0	0	1	2	2	0	46	22	37	3.95	1.36	632
Campillo, Jorge SP ATL 	Free Agent	58.0	8.3	3	0	3	2	0	0	39	15	60	4.34	1.29	635
Walker, Jamie RP BAL	Free Agent	49.0	0.0	0	0	1	2	2	0	34	12	52	4.04	1.31	636
Howell, J.P. RP TB 	Grape Apes	61.0	6.0	2	0	3	3	1	0	58	25	61	4.43	1.41	637
Aceves, Alfredo SP NYY 	Free Agent	30.0	4.0	3	0	1	0	0	0	16	10	25	2.40	1.17	642
Bonser, Boof SP MIN 	Free Agent	130.7	20.0	8	0	6	8	0	0	106	42	147	5.10	1.45	644
Kendrick, Kyle SP PHI	Free Agent	138.3	25.0	13	0	10	6	0	0	58	41	162	4.81	1.47	645
Carrasco, D.J. RP CHW	Free Agent	38.7	0.0	0	0	1	0	0	0	30	14	30	3.96	1.14	651
Gorzelanny, Tom SP CHC	Whiteness	123.0	21.3	11	0	7	8	0	0	81	56	128	4.68	1.50	653
Seanez, Rudy RP ANA	Free Agent	57.3	0.0	0	0	5	3	0	0	52	28	58	4.08	1.50	654
Devine, Joey RP OAK 	Lazy Pukes	20.0	0.0	0	0	2	0	0	0	22	11	13	1.80	1.20	656
Walker, Tyler RP PHI	Free Agent	31.0	0.0	0	0	3	4	3	0	26	12	29	4.65	1.32	658
Turnbow, Derrick RP TEX	Free Agent	43.7	0.0	0	0	3	5	9	0	53	33	37	6.18	1.60	660
Farnsworth, Kyle RP KC	Free Agent	62.0	0.0	0	0	2	3	2	0	61	26	64	4.50	1.45	665
Burgos, Ambiorix RP NYM	Free Agent	32.3	0.3	0	0	2	2	6	0	30	15	33	5.01	1.48	667
Pinto, Renyel RP FLA	Free Agent	51.0	0.0	0	0	1	3	1	0	49	33	39	3.88	1.41	669
Bruney, Brian RP NYY	Free Agent	35.0	0.3	0	0	2	1	0	0	32	23	25	3.09	1.37	674
Littleton, Wes RP MIL	Free Agent	34.0	0.0	0	0	2	1	1	0	18	12	30	3.71	1.24	675
League, Brandon RP TOR	Free Agent	29.0	0.0	0	0	1	1	1	0	20	10	27	2.79	1.28	676
Adams, Mike M. RP SD 	Free Agent	22.7	0.0	0	0	1	1	0	0	25	7	18	2.78	1.10	677
Romero, J.C. RP PHI 	Free Agent	54.7	0.0	0	0	2	3	1	0	42	35	46	3.62	1.48	679
Perkins, Glen SP MIN 	Free Agent	61.7	8.7	4	0	4	1	0	0	33	17	70	4.09	1.41	680
Hensley, Clay RP FLA	Free Agent	92.0	13.0	6	0	5	6	0	0	59	44	91	4.50	1.47	685
Motte, Jason RP STL	Free Agent	11.0	0.0	0	0	0	0	1	0	16	3	5	0.82	0.73	688
Laffey, Aaron SP CLE  	SA`s	71.3	12.5	6	0	4	4	0	0	34	22	78	4.29	1.40	689
Wright, Wesley RP HOU 	Free Agent	55.7	0.0	0	0	4	3	1	0	57	34	45	5.01	1.42	691
Lopez, Aquilino RP DET	Free Agent	48.0	0.0	0	0	2	0	0	0	34	14	52	3.75	1.38	692
Shell, Steven RP WAS	Free Agent	16.7	0.0	0	0	1	1	1	0	14	7	11	2.16	1.08	697
Correia, Kevin SP SD  	Whiteness	93.7	9.0	3	0	3	5	0	0	68	36	100	4.52	1.45	699
Willis, Dontrelle SP DET 	Free Agent	151.0	25.3	12	1	7	10	0	0	108	68	164	4.77	1.54	700
Nunez, Leo RP FLA 	Free Agent	35.0	2.0	1	0	2	2	0	0	23	10	35	3.60	1.29	701
Carrasco, Hector RP PIT	Free Agent	46.3	1.3	0	0	3	1	0	0	35	17	46	4.27	1.36	702
Scherzer, Max SP ARI  	SA`s	28.0	3.5	2	0	0	2	0	0	33	10	24	3.21	1.21	703
Hinshaw, Alex RP SF 	Free Agent	39.7	0.0	0	0	2	1	0	0	47	29	31	3.40	1.51	705
Reyes, Anthony SP CLE 	Free Agent	80.7	14.3	5	1	4	8	0	0	57	31	80	5.02	1.38	706
Affeldt, Jeremy RP SF	Free Agent	78.3	3.0	0	0	4	4	0	0	58	38	76	4.60	1.46	708
Mota, Guillermo RP LA	Free Agent	57.3	0.0	0	0	4	4	0	0	48	23	57	4.87	1.40	713
Schoeneweis, Scott RP ARI 	Free Agent	55.7	0.0	0	0	2	3	2	0	35	25	55	4.37	1.44	714
DiFelice, Mark RP MIL	Free Agent	19.0	0.0	0	0	1	0	0	0	20	4	17	2.84	1.11	715
Bray, Bill RP CIN	Free Agent	37.3	0.0	0	0	3	2	1	0	36	16	41	3.86	1.53	717
Yates, Tyler RP PIT 	Free Agent	63.0	0.0	0	0	3	4	1	0	59	34	59	4.71	1.48	719
Coffey, Todd RP MIL	Free Agent	52.0	0.0	0	0	3	3	3	0	39	18	62	4.50	1.54	720
Hampson, Justin SP OAK	Free Agent	32.0	0.3	0	0	2	1	0	0	21	10	33	3.38	1.34	721
Troncoso, Ramon RP LA	Free Agent	38.0	0.0	0	0	1	1	0	0	38	12	37	4.26	1.29	722
Seay, Bobby RP DET	Free Agent	39.3	0.0	0	0	1	1	0	0	36	16	37	3.89	1.35	723
Eyre, Scott RP PHI	Free Agent	46.3	0.0	0	0	3	1	0	0	50	24	48	3.88	1.55	725
Thompson, Brad SP STL 	Free Agent	83.7	8.0	3	0	5	4	0	0	39	26	96	4.52	1.46	726
Ramirez, Edwar RP NYY	Free Agent	38.0	0.0	0	0	3	1	1	0	47	19	34	5.21	1.39	727
Veras, Jose RP CLE	Free Agent	26.0	0.0	0	0	2	1	1	0	25	14	22	3.81	1.38	728
Geer, Josh SP SD	Free Agent	27.0	5.0	1	0	2	1	0	0	16	9	29	2.67	1.41	729
Hill, Shawn SP SD 	Free Agent	65.7	11.3	6	0	2	4	0	0	40	20	72	4.39	1.40	731
Bergmann, Jason SP WAS	Free Agent	106.7	16.3	7	0	3	6	0	0	79	39	111	5.15	1.41	733
Brown, Andrew RP OAK	Free Agent	29.0	0.0	0	0	1	1	0	0	26	15	22	3.72	1.28	734
Kensing, Logan RP WAS	Free Agent	35.3	0.0	0	0	2	1	0	0	38	20	30	4.08	1.42	736
Breslow, Craig A. RP OAK	Free Agent	19.7	0.0	0	0	0	1	0	0	17	8	15	2.29	1.17	737
Tankersley, Taylor RP FLA	Free Agent	35.3	0.0	0	0	3	1	1	0	36	21	32	4.33	1.50	738
Condrey, Clay RP PHI 	Free Agent	49.3	0.0	0	0	3	2	1	0	26	15	60	3.83	1.52	739
Chulk, Vinnie RP CLE	Free Agent	43.7	0.0	0	0	2	3	0	0	33	14	44	4.53	1.33	740
Colome, Jesus RP MIL 	Free Agent	45.7	0.0	0	0	2	1	0	0	33	22	42	4.14	1.40	741
Wright, Jamey SP KC	Free Agent	105.7	10.0	4	0	6	7	0	0	59	47	111	4.77	1.50	742
Bass, Brian RP BAL	Free Agent	89.3	4.0	1	0	4	4	1	0	45	31	98	4.84	1.44	746
Paronto, Chad RP HOU	Free Agent	35.7	0.0	0	0	2	2	0	0	20	13	37	3.53	1.40	747
Loaiza, Esteban SP CHW	Free Agent	73.0	12.0	4	1	5	5	0	0	42	22	81	5.05	1.41	748
Rincon, Juan RP COL 	Free Agent	63.0	0.0	0	0	3	2	0	0	51	25	69	4.43	1.49	749
Parra, Manny SP MIL  	SA`s	64.0	10.3	4	0	3	3	0	0	58	29	69	4.36	1.53	750
McCarthy, Brandon SP TEX  	Free Agent	69.3	9.7	4	0	3	6	0	0	46	30	69	4.67	1.43	752
Stetter, Mitch RP MIL	Free Agent	15.3	0.0	0	0	2	0	0	0	18	10	8	3.52	1.17	754
Ayala, Luis RP FLA 	Free Agent	39.3	0.0	0	0	1	4	3	0	26	12	43	4.81	1.40	755
Rhodes, Arthur RP CIN	Free Agent	27.0	0.0	0	0	1	2	2	0	29	15	25	4.00	1.48	756
Baez, Danys RP BAL	Free Agent	36.7	0.0	0	0	2	4	4	0	23	15	37	5.40	1.42	758
Wise, Matt RP NYM	Free Agent	35.0	0.0	0	0	3	3	0	0	25	11	39	4.11	1.43	761
Gonzalez, Edgar G. SP OAK 	Free Agent	64.3	7.7	2	0	4	4	0	0	41	19	71	5.04	1.40	763
Cassidy, Scott RP MIL	Free Agent	14.3	0.0	0	0	2	1	0	0	16	6	13	2.51	1.33	764
Herges, Matt RP COL	Free Agent	61.3	0.0	0	0	3	3	0	0	37	22	69	4.26	1.48	766
Sosa, Jorge RP WAS	Free Agent	84.0	9.0	4	0	5	7	1	0	52	31	92	5.14	1.46	768
Sanchez, Jonathan O. SP SF  	Grape Apes	83.3	12.3	5	0	4	6	0	0	84	42	83	5.18	1.50	771
Benson, Kris SP TEX	Free Agent	61.0	10.0	6	1	4	4	0	0	29	19	66	4.87	1.39	772
Fultz, Aaron RP CIN	Free Agent	36.0	0.3	0	0	2	1	0	0	30	15	37	4.00	1.44	774
Mock, Garrett RP WAS   	Free Agent	41.0	3.0	0	0	1	3	0	0	46	23	37	4.17	1.46	775
Casilla, Santiago RP OAK	Free Agent	34.3	0.0	0	0	2	1	1	0	32	15	35	4.46	1.46	777
Sweeney, Brian RP SD	Free Agent	18.7	0.0	0	0	1	0	1	0	8	5	18	3.38	1.23	779
Donnelly, Brendan RP FLA 	Free Agent	32.7	0.0	0	0	3	0	0	0	25	14	32	4.41	1.41	780
Jennings, Jason SP TEX 	Free Agent	112.7	18.7	9	1	4	9	0	0	75	46	120	4.95	1.47	781
Richmond, Scott SP TOR  	Free Agent	27.0	5.0	1	1	1	3	0	0	20	2	32	4.00	1.26	783
Tomko, Brett D. SP OAK  	Free Agent	104.7	14.7	6	0	5	9	0	0	77	32	118	5.42	1.43	784
Cameron, Kevin RP OAK	Free Agent	34.0	0.0	0	0	1	0	0	0	28	21	32	2.91	1.56	786
Calero, Kiko RP FLA	Free Agent	34.3	0.0	0	0	1	2	1	0	35	16	33	4.46	1.43	788
Giese, Dan RP OAK 	Free Agent	26.3	1.5	1	0	0	2	0	0	18	8	24	3.76	1.22	789
Schroder, Chris RP OAK	Free Agent	26.3	0.0	0	0	1	2	0	0	28	12	22	4.44	1.29	791
Robertson, David RP NYY	Free Agent	30.3	0.0	0	0	4	0	0	0	36	15	29	5.34	1.45	792
Johnson, Jim R. RP BAL 	Grape Apes	24.7	0.3	0	0	1	2	0	0	13	11	22	3.28	1.34	793
Medders, Brandon RP SF 	Free Agent	40.3	0.0	0	0	2	2	0	0	26	18	41	4.02	1.46	795
Albaladejo, Jonathan RP NYY	Free Agent	14.0	0.0	0	0	0	1	0	0	12	4	11	2.57	1.07	796
Germano, Justin SP SD	Free Agent	61.3	10.0	5	0	2	5	0	0	34	19	65	4.84	1.37	797
Speier, Ryan RP COL	Free Agent	34.7	0.0	0	0	2	1	0	0	23	13	36	4.15	1.41	798
Foulke, Keith RP OAK	Free Agent	27.0	0.0	0	0	1	1	0	0	20	7	27	4.33	1.26	801
Milton, Eric SP LA 	Free Agent	61.3	10.7	5	0	3	4	0	0	36	17	67	5.14	1.37	802
Sarfate, Dennis RP BAL 	Free Agent	32.0	1.3	0	0	2	1	0	0	37	22	25	4.50	1.47	806
Corcoran, Roy RP SEA	Free Agent	26.0	0.0	0	0	2	1	1	0	15	13	26	3.81	1.50	810
Batista, Miguel SP SEA	Free Agent	171.3	28.3	13	1	10	11	0	0	105	83	192	4.83	1.61	813
Byrdak, Tim RP HOU	Free Agent	35.7	0.0	0	0	2	0	0	0	33	21	32	4.29	1.49	817
Green, Sean RP NYM	Free Agent	59.7	0.0	0	0	3	2	0	0	43	28	64	4.37	1.54	820
Moehler, Brian SP HOU  	Free Agent	110.7	15.7	5	0	6	8	0	0	59	30	132	5.20	1.46	822
Kinney, Josh RP STL	Free Agent	10.7	0.0	0	0	0	0	0	0	10	3	7	2.53	0.94	823
Bowie, Micah RP COL	Free Agent	28.3	2.7	1	0	1	2	0	0	19	12	26	4.13	1.34	827
Castillo, Alberto RP BAL	Free Agent	26.0	0.0	0	0	1	0	0	0	23	10	27	3.81	1.42	829
Lugo, Ruddy RP NYM	Free Agent	44.3	0.0	0	0	3	1	0	0	27	25	41	4.47	1.49	832
Capellan, Jose F. RP HOU	Free Agent	33.3	0.0	0	0	1	2	0	0	27	13	32	4.59	1.35	833
Glover, Gary RP FLA	Free Agent	66.0	0.0	0	0	4	4	1	0	44	24	76	5.05	1.52	835
Slaten, Doug RP ARI	Free Agent	24.7	0.0	0	0	1	2	0	0	17	10	26	3.28	1.46	836
Britton, Chris RP SD	Free Agent	29.7	0.0	0	0	0	1	0	0	19	11	28	3.94	1.31	837
Sowers, Jeremy SP CLE  	Free Agent	92.3	16.3	7	1	4	6	0	0	41	27	103	5.17	1.41	839
Loux, Shane RP ANA 	Free Agent	16.0	0.0	0	0	0	0	0	0	4	2	16	2.81	1.12	840
Cabrera, Daniel SP ARI	Free Agent	177.3	30.0	12	2	9	13	0	0	139	101	179	5.23	1.58	841
Nieve, Fernando RP NYM 	SA`s	35.7	3.7	1	0	1	1	0	0	27	14	35	4.54	1.37	842
Blevins, Jerry RP OAK	Free Agent	21.3	0.0	0	0	0	2	0	0	19	8	20	3.80	1.31	856
Hughes, Phil SP NYY	Shits & Giggles	53.3	10.5	4	0	2	4	0	0	40	22	54	5.06	1.43	865
Castro, Fabio RP TOR	Free Agent	14.7	0.3	0	0	0	0	0	0	11	9	9	3.07	1.23	866
Wells, Randy RP CHC  	Titty`s Warriors	5.3	0.0	0	0	0	0	0	0	1	3	0	0.00	0.56	868
Chacin, Gustavo SP PHI	Free Agent	38.3	7.3	3	0	4	2	0	0	19	15	40	5.17	1.43	871
Bauer, Rick RP TOR	Free Agent	25.7	0.3	0	0	1	0	1	0	13	9	28	4.21	1.44	872
Gabbard, Kason SP BOS	Free Agent	54.3	10.3	3	0	3	2	0	0	34	32	52	4.47	1.55	874
Dolsi, Freddy RP DET	Free Agent	47.7	0.0	0	0	1	5	2	0	29	28	50	3.96	1.64	875
Johnson, Tyler J. RP SEA	Free Agent	24.7	0.0	0	0	1	2	0	0	20	13	21	4.38	1.38	876
Gobble, Jimmy RP CHW	Free Agent	56.3	2.0	0	0	3	3	1	0	52	25	63	5.11	1.56	877
Huber, Jon RP ATL	Free Agent	9.3	0.0	0	0	1	0	0	0	6	3	8	2.89	1.18	878
Mateo, Julio RP SF	Free Agent	22.0	0.0	0	0	3	1	0	0	12	9	25	4.09	1.55	879
Owens, Henry RP FLA	Free Agent	9.0	0.0	0	0	1	0	1	0	6	5	8	3.00	1.44	880
Russell, Adam RP SD	Free Agent	26.0	0.0	0	0	4	0	0	0	22	10	30	5.19	1.54	881
Morales, Franklin SP COL	Free Agent	32.3	6.5	2	0	2	2	0	0	18	16	31	4.45	1.45	883
Petit, Yusmeiro SP ARI  	Lazy Pukes	46.7	6.3	2	0	2	3	0	0	34	14	50	5.40	1.37	884
Price, David SP TB  	Floaters and Sinkers	7.0	0.5	0	0	0	0	0	0	6	2	4	2.57	0.86	894
Adkins, Jon RP CIN	Free Agent	19.7	0.0	0	0	1	0	0	0	11	8	20	3.66	1.42	895
McDonald, James RP LA	Free Agent	6.0	0.0	0	0	0	0	0	0	2	1	5	0.00	1.00	896
Hansack, Devern RP BOS	Free Agent	8.0	1.0	0	0	1	1	0	0	6	2	7	3.38	1.12	897
Corey, Bryan RP SD	Free Agent	31.0	0.0	0	0	1	1	0	0	19	10	31	4.94	1.32	898
Madrigal, Warner RP TEX	Free Agent	36.0	1.0	0	0	0	2	1	0	22	14	36	4.75	1.39	899
Villone, Ron RP WAS	Free Agent	57.7	0.0	0	0	1	2	0	0	49	35	52	4.68	1.51	900
Samardzija, Jeff RP CHC	Free Agent	14.0	0.0	0	0	0	0	0	0	12	8	12	2.57	1.43	903
McClung, Seth SP MIL 	Free Agent	73.3	9.0	3	0	4	6	2	0	52	43	75	5.03	1.61	904
Ledezma, Wil SP WAS	Free Agent	59.3	4.7	0	0	2	3	0	0	46	34	60	4.40	1.58	907
Nunez, Vladimir RP ATL	Free Agent	32.7	0.0	0	0	1	2	0	0	24	19	32	3.86	1.56	908
Ray, Ken RP CLE	Free Agent	22.7	0.0	0	0	0	0	2	0	17	13	22	4.37	1.54	910
Hinckley, Michael RP TEX	Free Agent	4.7	0.0	0	0	0	0	0	0	3	1	3	0.00	0.86	911
Mijares, Jose RP MIN	Free Agent	3.3	0.0	0	0	0	0	0	0	2	0	1	0.00	0.30	913
Lopez, Rodrigo SP PHI	Free Agent	89.3	14.3	5	0	5	7	0	0	60	27	106	5.44	1.49	915
Novoa, Roberto RP BAL	Free Agent	25.3	0.0	0	0	1	0	0	0	18	11	26	4.26	1.46	916
Silva, Carlos SP SEA 	Free Agent	178.7	30.7	13	1	9	15	0	0	76	33	229	5.44	1.47	917
Hirsh, Jason SP COL	Free Agent	55.3	9.7	5	0	3	4	0	0	37	25	55	5.37	1.45	918
Shearn, Tom SP CIN	Free Agent	16.3	3.0	2	0	2	0	0	0	8	6	16	4.96	1.35	920
Purcey, David SP TOR	Free Agent	65.0	12.0	6	1	3	6	0	0	58	29	67	5.54	1.48	921
Bale, John RP KC	Free Agent	33.3	1.5	0	0	0	2	0	0	28	12	37	4.32	1.47	927
McBride, Macay RP DET	Free Agent	29.7	0.0	0	0	2	1	0	0	25	19	29	4.25	1.62	930
Flores, Ron RP CIN	Free Agent	15.7	0.0	0	0	0	1	0	0	12	7	15	3.45	1.40	931
Duke, Zach SP PIT  	Shits & Giggles	169.3	28.0	13	1	6	12	0	0	82	47	215	4.84	1.55	932
Harrison, Matt SP TEX 	Free Agent	83.7	15.0	6	1	9	3	0	0	42	31	100	5.49	1.57	934
Belisle, Matt SP COL	Free Agent	82.3	12.7	4	0	4	4	0	0	55	23	101	5.25	1.51	936
Aardsma, David RP SEA 	Evil Empire	44.7	0.0	0	0	3	1	0	0	45	27	43	5.24	1.57	937
Miller, Jim RP BAL	Free Agent	7.7	0.0	0	0	0	2	1	0	8	5	9	1.17	1.83	939
Reineke, Chad SP OAK	Free Agent	18.0	3.0	1	0	2	1	0	0	13	12	14	5.00	1.44	940
Figueroa, Nelson SP NYM   	Free Agent	45.3	6.0	2	0	3	3	0	0	36	26	48	4.57	1.63	942
Mercker, Kent RP CIN	Free Agent	14.0	0.0	0	0	1	0	0	0	8	6	14	3.86	1.43	944
Rasner, Darrell SP NYY	Free Agent	52.7	9.7	3	0	3	5	0	0	30	17	61	5.13	1.48	946
Pineiro, Joel SP STL  	Want-a-be Ghetto All Stars	137.3	20.3	9	0	7	8	1	0	76	42	166	5.44	1.51	950
Waechter, Doug RP KC 	Free Agent	38.7	3.3	1	0	2	2	0	0	24	13	43	5.12	1.45	951
Murray, A.J. SP TEX	Free Agent	18.0	2.0	0	0	1	1	0	0	12	9	18	4.00	1.50	952
Mitre, Sergio SP NYY  	Free Agent	63.3	11.3	4	0	2	4	0	0	37	20	75	4.83	1.50	953
Hochevar, Luke SP KC  	Sofa Kings	47.3	7.7	3	0	2	4	0	0	26	17	51	5.13	1.44	955
O'Day, Darren RP TEX	Free Agent	43.3	0.0	0	0	0	1	0	0	29	14	49	4.57	1.45	956
Karstens, Jeff SP PIT 	Free Agent	36.3	6.0	3	0	2	4	0	0	15	11	41	4.95	1.43	958
Rapada, Clay RP DET	Free Agent	12.0	0.0	0	0	2	0	0	0	10	8	11	4.50	1.58	961
Houlton, D.J. RP LA	Free Agent	9.3	0.0	0	0	0	1	0	0	7	2	9	3.86	1.18	962
German, Franklyn RP CHW	Free Agent	11.3	0.0	0	0	0	1	0	0	7	9	8	2.38	1.50	964
Smith, Matt J. RP CHC	Free Agent	8.3	0.0	0	0	0	0	0	0	7	8	4	2.16	1.44	965
Vermilyea, Jamie RP TOR	Free Agent	3.0	0.0	0	0	0	0	0	0	1	0	2	0.00	0.67	966
Camp, Shawn RP TOR	Free Agent	51.3	0.0	0	0	3	3	1	0	40	16	65	5.26	1.58	967
MacDougal, Mike RP WAS 	User Abuser	29.3	0.0	0	0	1	2	0	0	24	17	29	4.30	1.57	968
Patton, Troy SP BAL	Free Agent	6.3	1.0	0	0	0	1	0	0	4	2	5	2.84	1.11	970
Broadway, Lance RP NYM 	Free Agent	12.0	1.0	0	0	1	0	0	0	10	5	12	4.50	1.42	972
Ginter, Matt SP MIL	Free Agent	21.0	4.0	1	0	1	3	0	0	12	3	25	5.14	1.33	973
Perez, Beltran SP WAS	Free Agent	7.0	1.0	1	0	1	0	0	0	3	4	5	3.86	1.29	974
Atchison, Scott RP BOS	Free Agent	15.3	0.0	0	0	0	0	0	0	12	5	16	4.11	1.37	975
Armas, Tony SP NYM	Free Agent	86.3	15.3	6	0	5	6	0	0	59	34	96	5.53	1.51	977
Tsao, Chin-Hui RP KC	Free Agent	8.3	0.0	0	0	0	0	0	0	5	3	6	4.32	1.08	982
McBeth, Marcus RP BOS 	Free Agent	10.0	0.0	0	0	2	1	0	0	8	4	11	5.40	1.50	985
Valdez, Merkin RP SF	Free Agent	5.3	0.3	0	0	0	0	0	0	4	2	5	1.69	1.31	987
McLemore, Mark S. RP HOU	Free Agent	11.7	0.0	0	0	1	0	0	0	12	6	13	3.86	1.63	988
Stockman, Phil RP ATL	Free Agent	3.7	0.0	0	0	0	0	0	0	4	3	2	0.00	1.36	989
Stults, Eric SP LA	Free Agent	31.7	4.7	2	0	1	2	0	0	22	12	35	4.83	1.48	993
Hampton, Mike SP HOU 	Free Agent	26.0	4.3	3	0	1	1	0	0	13	9	28	4.85	1.42	994
Korecky, Bobby RP ARI	Free Agent	17.7	0.0	0	0	2	0	0	0	6	8	19	4.58	1.53	995
Misch, Patrick SP NYM  	Free Agent	31.3	3.7	0	0	0	2	0	0	22	9	35	4.88	1.40	996
Buckner, Billy RP ARI	Free Agent	24.0	2.5	0	0	1	1	0	0	14	10	26	4.50	1.50	1000
Bazardo, Yorman RP HOU 	Free Agent	9.0	0.7	0	0	1	0	0	0	6	3	9	5.00	1.33	1001
Pavano, Carl SP MIN  	Free Agent	15.3	3.0	1	0	2	1	0	0	6	4	18	5.28	1.43	1002
Salmon, Brad RP ANA	Free Agent	12.0	0.0	0	0	0	0	0	0	11	5	11	4.50	1.33	1003
Ring, Royce RP STL	Free Agent	18.3	0.0	0	0	1	0	0	0	15	10	17	4.91	1.47	1004
Ohka, Tomo SP CLE	Free Agent	51.0	9.3	3	0	2	3	0	0	24	19	55	5.12	1.45	1005
Sadler, Billy SP SF	Free Agent	16.0	0.0	0	0	0	0	0	0	16	10	13	4.50	1.44	1008
Corcoran, Tim RP LA	Free Agent	36.0	5.3	2	0	2	3	0	0	22	20	36	4.75	1.56	1009
Tavarez, Julian SP WAS	Free Agent	96.0	9.7	3	0	4	7	0	0	61	41	111	4.88	1.58	1010
Happ, J.A. SP PHI  	Want-a-be Ghetto All Stars	18.0	2.5	2	0	0	0	0	0	16	8	18	4.50	1.44	1014
McLeary, Marty RP TOR	Free Agent	8.3	0.7	0	0	1	0	0	0	4	3	9	4.32	1.44	1017
Miller, Matt J. RP PIT	Free Agent	5.7	0.0	0	0	0	0	0	0	4	3	4	3.18	1.24	1020
O'Malley, Ryan J. SP CHC	Free Agent	4.3	0.7	0	0	0	0	0	0	1	2	3	2.08	1.15	1024
Martis, Shairon SP WAS	Free Agent	20.7	4.0	0	0	1	3	0	0	23	12	18	5.66	1.45	1027
Beltran, Francis RP SF	Free Agent	13.0	0.0	0	0	1	0	0	0	9	6	13	4.85	1.46	1028
Martin, Tom RP NYM	Free Agent	28.7	0.0	0	0	1	0	0	0	19	11	31	5.02	1.47	1032
Bacsik, Mike SP WAS	Free Agent	59.0	10.0	4	0	2	4	0	0	22	14	70	5.19	1.42	1033
De La Rosa, Jorge SP COL  	Disco Bush Horticulturists	113.0	19.7	6	0	8	9	0	0	92	56	123	5.65	1.58	1035
Cortes, David RP SF	Free Agent	9.7	0.0	0	0	1	0	0	0	5	2	12	4.66	1.45	1036
Borkowski, Dave RP PHI	Free Agent	59.7	0.0	0	0	3	2	0	0	46	24	67	5.43	1.53	1038
Rundles, Richard RP CLE	Free Agent	5.0	0.0	0	0	0	0	0	0	6	3	5	1.80	1.60	1039
Bowden, Michael SP BOS	Want-a-be Ghetto All Stars	5.0	1.0	0	0	1	0	0	0	3	1	7	3.60	1.60	1040
