All Relief Pitchers 3 Year Averages MLB Standard Stats
Player,Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Edgin, Josh RP NYM"	Free Agent	25.7	0	0	0	1	2	0	2	30	10	19	4.558	1.1299	893
"De La Rosa, Rubby RP BOS "	Free Agent	30.7	5	2	0	2	2	0	0	30	16	27	4.109	1.4022	896
"Wright, Wesley RP HOU"	Free Agent	32.3	1	0	0	1	1	0	1	31	12	29	3.897	1.2680	898
"Heilman, Aaron RP SEA"	Free Agent	35.7	0	0	0	3	3	2	3	29	12	40	5.299	1.4579	899
"Linebrink, Scott RP STL"	Free Agent	37.3	0	0	0	2	2	0	1	31	13	39	4.098	1.3929	902
"Mendoza, Luis SP KC "	SA`s	61.7	9	5	0	3	4	0	0	37	22	66	4.378	1.4270	904
"Teaford, Everett RP KC "	Free Agent	52.7	4	1	0	2	2	0	0	32	18	52	4.272	1.3291	907
"Gomes, Brandon RP TB"	Free Agent	27.3	0	0	0	2	2	0	0	24	14	25	3.622	1.4268	911
"Mijares, Jose RP SF"	Free Agent	46.0	0	0	0	1	2	0	1	38	20	46	3.522	1.4348	912
"Bueno, Francisley RP KC"	Free Agent	17.3	0	0	0	1	1	0	0	7	2	16	1.558	1.0385	919
"Thayer, Dale RP SD"	Free Agent	23.3	0	0	0	1	2	2	1	18	4	24	4.243	1.2000	923
"Mortensen, Clayton RP BOS "	Free Agent	35.3	2	1	0	1	2	0	0	26	15	31	3.566	1.3019	927
"Schwimer, Michael RP TOR "	Free Agent	24.3	0	0	0	2	1	0	2	26	12	22	4.438	1.3973	931
"Roenicke, Josh RP MIN"	Free Agent	41.3	0	0	0	2	1	0	1	28	21	39	3.702	1.4516	932
"Tateyama, Yoshinori RP TEX"	Free Agent	30.7	0	0	0	2	0	0	0	30	8	28	5.870	1.1739	934
"Elbert, Scott RP LAD "	Free Agent	22.3	0	0	0	0	1	1	0	21	10	18	2.418	1.2537	935
"Hawkins, LaTroy RP NYM"	Free Agent	35.3	0	0	0	2	2	0	2	23	10	39	3.821	1.3868	936
"Storey, Mickey RP TOR"	Free Agent	30.3	0	0	0	0	1	0	0	34	10	27	3.857	1.2198	937
"Tazawa, Junichi RP BOS"	Free Agent	15.7	0	0	0	0	0	0	0	16	2	13	1.723	0.9574	939
"Burnett, Alex RP MIN"	Free Agent	56.7	0	0	0	3	4	0	1	35	23	58	4.606	1.4294	943
"Lopez, Rodrigo RP PHI"	Free Agent	101.3	16	7	0	4	8	0	0	57	30	117	4.796	1.4507	947
"Beato, Pedro RP BOS"	Free Agent	39.3	0	0	0	2	0	0	0	26	16	35	4.576	1.2966	948
"Boxberger, Brad RP SD"	Free Agent	27.7	0	0	0	0	0	0	0	33	18	22	2.602	1.4458	949
"Mikolas, Miles RP SD"	Free Agent	32.3	0	0	0	2	1	0	1	23	15	32	3.619	1.4536	950
"McPherson, Kyle RP PIT"	Free Agent	26.3	3	1	0	0	2	0	0	21	7	24	2.734	1.1772	953
"Hill, Rich RP CLE"	Free Agent	10.7	0	0	0	1	0	0	0	12	5	8	0.844	1.2188	954
"Perez, Luis RP TOR "	Free Agent	35.7	1	0	0	2	2	0	1	31	14	37	4.542	1.4299	961
"Wood, Blake RP CLE "	Free Agent	39.7	0	0	0	2	2	0	2	31	18	40	4.311	1.4622	972
"Fien, Casey RP MIN"	Free Agent	12.7	0	0	0	1	0	0	0	11	3	10	2.842	1.0263	975
"Kirkman, Michael RP TEX "	Free Agent	26.3	0	0	0	1	1	0	1	25	13	20	4.443	1.2532	978
"Scribner, Evan RP OAK"	Free Agent	24.7	0	0	0	1	0	0	0	20	8	24	3.649	1.2973	980
"Perry, Ryan RP WAS"	Free Agent	36.0	0	0	0	2	2	1	1	24	15	35	4.750	1.3889	981
"McClendon, Mike RP COL"	Free Agent	16.3	0	0	0	2	0	0	0	12	5	17	3.857	1.3469	982
"Swarzak, Anthony RP MIN "	Free Agent	66.3	5	3	0	2	4	0	0	39	19	72	4.613	1.3719	984
"Below, Duane RP DET"	Free Agent	37.7	2	0	0	1	2	0	0	22	10	38	4.062	1.2743	992
"Lowe, Mark RP LAD"	Free Agent	32.7	0	0	0	1	3	0	1	27	13	33	3.857	1.4082	993
"Robertson, Tyler RP MIN"	Free Agent	25.0	0	0	0	2	2	0	1	26	14	21	5.400	1.4000	996
"Zumaya, Joel RP MIN"	Free Agent	12.7	0	0	0	1	0	0	1	11	4	11	2.842	1.1842	1002
"Corpas, Manny RP COL"	Free Agent	36.3	0	0	0	1	2	3	2	25	13	39	4.706	1.4312	1003
"Balester, Collin RP TEX"	Free Agent	25.0	0	0	0	1	2	0	0	25	12	22	4.320	1.3600	1005
"Neshek, Pat RP OAK"	Free Agent	17.7	0	0	0	1	1	0	1	15	12	12	3.057	1.3585	1007
"Axelrod, Dylan SP CHW "	Free Agent	34.7	5	2	0	2	1	0	0	30	15	37	4.673	1.5000	1008
"Cramer, Bobby RP OAK"	Free Agent	10.7	1	0	0	1	1	0	0	6	2	9	2.531	1.0312	1014
"Buchholz, Taylor RP NYM"	Free Agent	12.7	0	0	0	1	0	0	0	12	4	11	3.553	1.1842	1015
"Gutierrez, J.C. RP KC"	Free Agent	25.0	0	0	0	0	2	5	1	23	11	26	5.040	1.4800	1017
"Rodriguez, Fernando RP OAK"	Free Agent	41.0	0	0	0	1	4	0	1	45	21	40	4.829	1.4878	1019
"Howell, J.P. RP LAD"	Free Agent	27.0	0	0	0	1	1	0	0	23	13	23	4.333	1.3333	1020
"Diekman, Jacob RP PHI"	Free Agent	27.3	0	0	0	1	1	0	1	35	20	25	3.951	1.6463	1023
"Marte, Luis RP DET"	Free Agent	13.0	0	0	0	1	0	0	0	11	5	12	2.769	1.3077	1025
"Hefner, Jeremy SP NYM "	Free Agent	46.7	6	4	0	2	4	0	0	31	9	55	5.014	1.3714	1026
"Dessens, Elmer RP NYM"	Free Agent	15.7	0	0	0	1	1	0	0	5	5	14	2.298	1.2128	1028
"Hawksworth, Blake RP LAD"	Free Agent	47.7	3	0	0	2	4	0	0	35	17	53	4.720	1.4685	1030
"Laffey, Aaron SP NYM"	Free Agent	70.0	7	2	0	3	4	0	0	35	29	76	4.371	1.5000	1032
"Bergesen, Brad RP ARI"	Free Agent	100.3	13	5	1	4	7	0	0	53	30	114	5.113	1.4352	1033
"Ohman, Will RP WAS"	Free Agent	40.7	0	0	0	0	2	0	1	37	15	39	4.426	1.3279	1035
"Lewis, Jensen RP CHC"	Free Agent	12.0	0	0	0	1	1	0	0	10	6	9	3.000	1.2500	1036
"Norberto, Jordan RP OAK"	Free Agent	26.3	0	0	0	1	1	0	1	22	17	20	4.101	1.4051	1044
"Bush, Dave RP TOR "	Free Agent	70.7	11	6	0	3	5	0	0	43	25	82	4.712	1.5142	1045
"Spence, Josh RP NYY"	Free Agent	20.0	0	0	0	0	2	0	1	20	12	14	3.150	1.3000	1046
"Aumont, Phillippe RP PHI"	Free Agent	14.7	0	0	0	0	1	2	1	14	9	10	3.682	1.2955	1047
"Eyre, Willie RP BAL"	Free Agent	9.3	0	0	0	1	1	0	0	5	2	6	3.857	0.8571	1051
"Tejeda, Robinson RP CLE"	Free Agent	22.7	0	0	0	1	2	0	2	19	10	22	3.971	1.4118	1054
"Feliciano, Pedro RP NYM "	Free Agent	21.0	0	0	0	1	2	0	0	19	10	22	3.429	1.5238	1056
"Gonzalez, Edgar RP HOU"	Free Agent	13.3	3	0	0	2	0	0	0	10	4	14	5.400	1.3500	1057
"Herrmann, Frank RP CLE"	Free Agent	40.0	0	0	0	1	0	0	0	24	10	44	4.275	1.3500	1058
"Jennings, Dan RP MIA"	Free Agent	19.0	0	0	0	1	0	0	0	8	11	18	1.895	1.5263	1065
"Escalona, Sergio RP HOU"	Free Agent	9.3	0	0	0	1	0	0	0	8	4	8	2.893	1.2857	1068
"Slaten, Doug RP PIT"	Free Agent	23.3	0	0	0	1	1	0	0	18	12	23	3.471	1.5000	1070
"Schlereth, Daniel RP BAL"	Free Agent	25.0	0	0	0	1	1	0	1	23	15	23	3.960	1.5200	1072
"Gaudin, Chad RP SF"	Free Agent	47.7	0	0	0	2	2	0	0	40	20	52	5.098	1.5105	1075
"Cassevah, Bobby RP LAA"	Free Agent	21.7	0	0	0	1	1	0	1	11	11	19	3.323	1.3846	1077
"Bautista, Denny RP SEA"	Free Agent	11.3	0	0	0	1	0	0	0	15	9	8	3.971	1.5000	1078
"Hill, Shawn RP DET"	Free Agent	8.0	1	0	0	1	1	0	0	5	2	8	2.250	1.2500	1079
"Eppley, Cody RP NYY"	Free Agent	27.3	0	0	0	1	2	0	0	19	11	28	3.951	1.4268	1081
"Park, Chan Ho RP PIT"	Free Agent	21.3	0	0	0	1	1	0	1	17	6	22	4.641	1.3125	1082
"Parra, Manny RP CIN"	Free Agent	60.3	5	1	0	2	4	0	1	63	33	66	5.072	1.6409	1087
"Wall, Josh RP LAD"	Free Agent	5.7	0	0	0	1	0	0	0	4	1	3	4.765	0.7059	1090
"Capps, Carter RP SEA "	Free Agent	25.0	0	0	0	0	0	0	0	28	11	25	3.960	1.4400	1094
"Runzler, Dan RP SF"	Free Agent	21.3	0	0	0	1	1	0	0	22	13	20	4.219	1.5469	1096
"Ottavino, Adam RP COL"	Free Agent	33.7	1	0	0	2	1	0	1	31	14	38	5.346	1.5446	1100
"Herndon, David RP NYY "	Free Agent	39.0	0	0	0	1	3	0	1	25	14	44	3.923	1.4872	1104
"Mitre, Sergio RP NYY"	Free Agent	30.7	1	0	0	0	1	0	0	15	10	27	3.815	1.2065	1105
"De Los Santos, Fautino RP SD"	Free Agent	12.0	0	0	0	1	1	0	1	15	7	11	4.500	1.5000	1108
"Mazzaro, Vin RP PIT"	Free Agent	65.0	9	5	0	4	4	0	0	38	28	74	5.123	1.5692	1110
"Kohn, Michael RP LAA"	Free Agent	11.3	0	0	0	1	0	1	0	10	8	10	3.971	1.5882	1111
"Kintzler, Brandon RP MIL"	Free Agent	13.0	0	0	0	1	1	0	0	13	5	14	4.154	1.4615	1112
"Penny, Brad RP SF"	Free Agent	88.3	13	7	0	5	5	0	0	40	27	109	4.992	1.5396	1116
"Ramos, Cesar RP TB"	Free Agent	27.3	0	0	0	0	1	0	1	23	13	24	3.951	1.3537	1117
"Escalona, Edgmer RP COL"	Free Agent	18.0	0	0	0	0	0	0	0	12	6	15	3.500	1.1667	1118
"Okajima, Hideki RP OAK"	Free Agent	18.0	0	0	0	2	1	0	1	13	8	22	4.500	1.6667	1119
"Bowden, Michael RP CHC"	Free Agent	25.0	0	0	0	0	0	0	0	21	11	24	3.600	1.4000	1125
"Sherrill, George RP KC "	Free Agent	24.7	0	0	0	2	1	0	2	21	12	28	5.108	1.6216	1129
"Gearrin, Cory RP ATL"	Free Agent	19.3	0	0	0	0	1	0	1	22	8	17	4.655	1.2931	1132
"Burres, Brian RP SF"	Free Agent	31.0	5	2	0	2	2	0	0	18	13	33	4.936	1.4839	1134
"Rosenberg, B.J. RP PHI"	Free Agent	25.0	1	0	0	1	2	0	0	24	14	18	6.120	1.2800	1136
"Dillard, Tim RP MIL"	Free Agent	32.7	0	0	0	0	2	0	0	28	9	36	4.408	1.3776	1138
"Jenkins, Chad RP TOR "	Free Agent	32.0	3	0	0	1	3	0	0	16	11	32	4.500	1.3438	1142
"Allen, Cody RP CLE"	Free Agent	29.0	0	0	0	0	1	0	1	27	15	29	3.724	1.5172	1145
"Rodriguez, Paco RP LAD"	Free Agent	6.7	0	0	0	0	1	0	0	6	4	3	1.350	1.0500	1147
"Scahill, Rob RP COL"	Free Agent	8.7	0	0	0	0	0	0	0	4	3	7	1.038	1.1538	1151
"Hampson, Justin RP NYM "	Free Agent	10.0	0	0	0	0	0	0	0	4	5	6	1.800	1.1000	1153
"Carrasco, D.J. RP NYM"	Free Agent	43.7	0	0	0	1	2	0	1	32	17	47	4.740	1.4656	1157
"Sweeney, Brian RP ARI"	Free Agent	12.3	0	0	0	0	1	0	0	5	2	11	2.919	1.0541	1161
"Seddon, Chris RP CLE"	Free Agent	19.0	1	0	0	1	0	0	0	11	8	19	4.263	1.4211	1162
"Flores, Randy RP SD"	Free Agent	10.3	0	0	0	1	0	0	0	7	5	11	3.484	1.5484	1163
"Barnes, Scott RP CLE"	Free Agent	19.0	0	0	0	0	0	0	0	16	7	17	4.263	1.2632	1164
"Veal, Donnie RP CHW"	Free Agent	4.3	0	0	0	0	0	0	0	6	1	2	2.077	0.6923	1167
"Cingrani, Tony RP CIN "	Free Agent	5.0	0	0	0	0	0	0	0	9	2	4	1.800	1.2000	1168
"Richards, Garrett RP LAA"	Free Agent	42.7	6	2	0	2	2	0	1	28	20	46	4.852	1.5469	1169
"Wuertz, Michael RP MIA"	Free Agent	24.3	0	0	0	1	1	2	0	24	16	24	5.548	1.6438	1172
"Reyes, Dennys RP BAL"	Free Agent	13.3	0	0	0	1	0	0	1	9	8	12	4.050	1.5000	1173
"Chatwood, Tyler SP COL "	Free Agent	103.3	18	5	0	6	8	0	0	58	52	120	4.965	1.6645	1174
"Ramos, A.J. RP MIA"	Free Agent	9.3	0	0	0	0	0	0	1	13	4	8	3.857	1.2857	1175
"Carreno, Joel RP TOR"	Free Agent	18.7	1	0	0	0	1	0	0	15	9	16	3.857	1.3393	1180
"Nieve, Fernando RP CLE"	Free Agent	14.0	0	0	0	1	1	0	1	13	7	12	5.786	1.3571	1181
"Browning, Barret RP STL"	Free Agent	19.3	0	0	0	1	3	0	0	11	7	18	5.121	1.2931	1182
"Monasterios, Carlos RP LAD"	Free Agent	29.3	4	0	0	1	2	0	0	17	10	33	4.295	1.4659	1187
"MacDougal, Mike RP LAD"	Free Agent	27.0	0	0	0	1	1	0	1	20	16	29	3.667	1.6667	1188
"Purcey, David RP CHW"	Free Agent	22.7	0	0	0	1	1	0	0	18	14	20	4.765	1.5000	1190
"Hagadone, Nick RP CLE"	Free Agent	18.0	0	0	0	1	0	0	0	18	10	15	6.000	1.3889	1191
"De Fratus, Justin RP PHI"	Free Agent	7.3	0	0	0	0	0	0	0	6	4	4	2.454	1.0909	1193
"Braddock, Zach RP BAL"	Free Agent	17.0	0	0	0	0	1	0	1	20	10	15	4.235	1.4706	1196
"Nippert, Dustin RP TEX"	Free Agent	19.0	1	0	0	1	2	0	0	16	11	20	4.263	1.6316	1198
"Mahay, Ron RP CIN"	Free Agent	11.3	0	0	0	0	0	0	0	8	3	11	3.176	1.2353	1200
"Scheppers, Tanner RP TEX"	Free Agent	32.3	0	0	0	1	1	1	0	30	9	47	4.454	1.7320	1202
"Bell, Trevor RP DET"	Free Agent	31.7	2	1	0	1	2	0	0	21	10	39	4.263	1.5474	1203
"Enright, Barry RP LAA "	Free Agent	46.7	8	3	0	2	4	0	0	23	15	51	5.207	1.4143	1206
"Varvaro, Anthony RP ATL"	Free Agent	15.0	0	0	0	0	1	0	0	16	9	12	4.200	1.4000	1207
"Garcia, Christian RP WAS "	Free Agent	4.3	0	0	0	0	0	0	0	5	1	3	2.077	0.9231	1208
"Adcock, Nate RP KC"	Free Agent	47.3	2	0	0	0	2	0	0	29	20	50	3.803	1.4789	1209
"Carpenter, David P LAA"	Free Agent	39.7	0	0	0	1	2	0	0	28	17	42	4.765	1.4874	1210
"Beimel, Joe RP TEX"	Free Agent	23.3	0	0	0	1	1	0	1	13	8	27	4.243	1.5000	1212
"Kinney, Josh RP SEA"	Free Agent	16.7	0	0	0	0	1	0	0	19	7	16	4.860	1.3800	1213
"Sonnanstine, Andy RP CHC"	Free Agent	39.0	3	0	0	1	1	0	0	21	13	41	4.846	1.3846	1215
"Demel, Sam RP HOU"	Free Agent	21.3	0	0	0	1	1	1	0	16	9	25	5.062	1.5938	1226
"De La Cruz, Frankie RP CHC"	Free Agent	6.7	0	0	0	0	0	0	0	4	2	5	2.700	1.0500	1227
"Thornburg, Tyler RP MIL"	Free Agent	22.0	3	0	0	0	0	0	0	20	7	24	4.500	1.4091	1228
"Threets, Erick RP COL"	Free Agent	4.0	0	0	0	0	0	0	0	2	1	3	0.000	1.0000	1229
"Maronde, Nick RP LAA"	Free Agent	6.0	0	0	0	0	0	0	0	7	3	6	1.500	1.5000	1230
"Wang, Chien-Ming SP WAS"	Whiteness	31.7	5	1	0	2	2	0	0	13	9	39	4.832	1.5158	1231
"Torres, Carlos RP NYM"	Free Agent	22.3	0	0	0	2	1	0	0	18	12	24	6.045	1.6119	1233
"Miller, Justin RP SEA"	Free Agent	8.0	0	0	0	0	0	0	0	10	3	7	4.500	1.2500	1235
"Mateo, Marcos RP CHC "	Free Agent	15.0	0	0	0	0	1	0	0	17	6	15	4.800	1.4000	1236
"Thomas, Brad RP DET"	Free Agent	26.7	1	0	0	2	1	0	0	12	12	31	4.725	1.6125	1240
"Delcarmen, Manny RP NYY"	Free Agent	17.3	0	0	0	1	1	0	1	13	11	15	5.192	1.5000	1242
"Sosa, Jorge RP MIA"	Free Agent	12.3	1	0	0	1	1	0	0	6	6	13	4.378	1.5405	1244
"Donnelly, Brendan RP PIT"	Free Agent	10.3	0	0	0	1	0	0	0	9	8	9	5.226	1.6452	1254
"Devine, Joey RP OAK"	Free Agent	7.7	0	0	0	0	0	0	0	7	4	6	3.522	1.3043	1256
"Maine, Scott RP MIA"	Free Agent	15.7	0	0	0	1	1	0	0	16	8	17	5.745	1.5957	1257
"Troncoso, Ramon RP CHW"	Free Agent	25.7	0	0	0	1	1	0	0	16	7	31	4.909	1.4805	1258
"Ortiz, Ramon RP TOR"	Free Agent	21.0	1	0	0	1	1	0	0	15	9	21	5.571	1.4286	1263
"Russell, Adam RP BAL"	Free Agent	16.0	0	0	0	0	1	0	0	10	8	15	3.375	1.4375	1264
"Chapman, Jaye RP CHC"	Free Agent	12.0	0	0	0	0	1	0	0	12	10	8	3.750	1.5000	1266
"Kimball, Cole RP WAS "	Free Agent	7.0	0	0	0	0	0	0	0	6	6	4	2.571	1.4286	1269
"Omogrosso, Brian RP CHW"	Free Agent	7.0	0	0	0	0	0	0	0	6	3	7	2.571	1.4286	1269
"Smith, Jordan RP MIA"	Free Agent	20.7	0	0	0	1	1	0	1	13	6	26	4.790	1.5484	1273
"Kilby, Brad RP OAK"	Free Agent	2.7	0	0	0	0	0	0	0	3	0	2	3.375	0.7500	1274
"Miller, Andrew RP BOS"	Free Agent	46.0	6	1	0	3	3	0	0	43	29	52	5.674	1.7609	1275
"Bowers, Cedrick RP OAK"	Free Agent	4.7	0	0	0	0	0	0	0	6	2	4	3.857	1.2857	1276
"Abreu, Juan RP LAD"	Free Agent	3.3	0	0	0	0	0	0	0	6	2	3	2.700	1.5000	1280
"Koehler, Tom RP MIA"	Free Agent	13.3	1	0	0	0	1	0	0	13	2	15	5.400	1.2750	1283
"O'Connor, Mike RP NYY"	Free Agent	3.3	0	0	0	0	0	0	0	4	2	2	2.700	1.2000	1284
"Miller, Trever RP CHC"	Free Agent	19.0	0	0	0	0	1	0	1	11	9	18	3.789	1.4211	1286
"Schlichting, Travis RP OAK"	Free Agent	7.7	0	0	0	0	0	0	0	5	3	7	3.522	1.3043	1290
"Vizcaino, Arodys RP CHC"	Free Agent	8.7	0	0	0	0	0	0	1	8	4	8	4.154	1.3846	1291
"Jeffress, Jeremy RP TOR"	Free Agent	13.0	0	0	0	1	0	0	0	11	10	13	4.846	1.7692	1295
"McCutchen, Daniel RP BAL"	Free Agent	50.7	3	0	0	2	3	0	0	28	21	57	4.974	1.5395	1297
"Sanchez, Romulo RP TB"	Free Agent	1.3	0	0	0	0	0	0	0	2	1	0	0.000	0.7500	1298
"Pinto, Renyel RP STL"	Free Agent	5.7	0	0	0	0	0	0	0	5	3	5	3.176	1.4118	1303
"Pena, Tony RP LAA"	Free Agent	40.3	1	0	0	2	1	0	0	24	18	44	5.355	1.5372	1304
"Villarreal, Pedro RP CIN"	Free Agent	1.0	0	0	0	0	0	0	0	1	0	0	0.000	0.0000	1305
"Reynolds, Greg RP TEX"	Free Agent	10.7	1	0	0	1	0	0	0	6	3	13	5.906	1.5000	1306
"Infante, Gregory RP LAD"	Free Agent	1.7	0	0	0	0	0	0	0	2	1	1	0.000	1.2000	1308
"Morris, Bryan RP PIT"	Free Agent	1.7	0	0	0	0	0	0	0	2	1	1	0.000	1.2000	1308
"Rogers, Esmil RP TOR"	Free Agent	78.0	7	2	0	4	4	0	1	71	34	96	6.000	1.6667	1311
"Freeman, Sam RP STL"	Free Agent	20.0	0	0	0	0	2	0	0	18	10	17	5.400	1.3500	1313
"Ruffin, Chance RP SEA"	Free Agent	8.7	0	0	0	0	0	0	0	9	4	9	4.154	1.5000	1314
"Romero, J.C. RP BAL"	Free Agent	24.3	0	0	0	1	0	1	1	18	16	26	4.808	1.7260	1317
"Dolis, Rafael RP CHC"	Free Agent	13.0	0	0	0	1	1	1	1	8	8	13	6.231	1.6154	1320
"Hamburger, Mark RP HOU "	Free Agent	4.0	0	0	0	0	0	0	0	3	2	2	4.500	1.0000	1322
"Castillo, Alberto RP LAD"	Free Agent	7.3	0	0	0	1	0	0	0	6	4	9	6.136	1.7727	1326
"Putnam, Zach RP CHC"	Free Agent	4.7	0	0	0	0	0	0	0	4	0	6	3.857	1.2857	1329
"Phillips, Zach RP MIA"	Free Agent	4.7	0	0	0	0	0	0	0	4	2	4	3.857	1.2857	1329
"Moskos, Daniel RP CHW"	Free Agent	12.0	0	0	0	0	0	0	0	6	4	14	3.000	1.5000	1334
"Figueroa, Pedro RP OAK"	Free Agent	7.3	0	0	0	0	0	0	0	5	5	5	3.682	1.3636	1337
"Pomeranz, Stu RP BAL"	Free Agent	6.0	0	0	0	0	0	0	0	3	1	7	3.000	1.3333	1338
"Septimo, Leyson RP CHW"	Free Agent	4.7	0	0	0	0	1	0	0	5	2	3	5.786	1.0714	1339
"Marte, Damaso RP NYY"	Free Agent	6.0	0	0	0	0	0	0	1	4	4	3	4.500	1.1667	1341
"Gray, Jeff RP CHW"	Free Agent	36.7	0	0	0	2	1	0	1	18	16	41	5.154	1.5545	1342
"Cedeno, Xavier RP HOU"	Free Agent	16.3	0	0	0	0	0	0	1	18	7	18	4.959	1.5306	1343
"Jones, Hunter RP CLE"	Free Agent	0.7	0	0	0	0	0	0	0	1	0	0	0.000	0.0000	1345
"Beliveau, Jeff RP TEX"	Free Agent	17.7	0	0	0	1	0	0	0	17	12	21	4.585	1.8679	1347
"Cabrera, Alberto RP CHC"	Free Agent	10.7	0	0	0	0	0	0	0	14	9	8	5.062	1.5938	1349
"Perez, Juan RP TOR"	Free Agent	6.0	0	0	0	0	0	0	0	9	6	4	4.500	1.6667	1350
"Ortega, Jose RP DET "	Free Agent	1.3	0	0	0	0	0	0	0	2	0	2	0.000	1.5000	1354
"Carlson, Jesse RP BOS"	Free Agent	4.7	0	0	0	0	0	0	0	3	2	4	3.857	1.2857	1359
"Ross, Tyson SP SD "	Free Agent	49.7	7	3	0	2	6	0	0	34	23	56	5.255	1.5906	1360
"Outman, Josh RP COL"	Free Agent	33.0	5	2	0	1	3	0	0	25	14	36	5.455	1.5152	1363
"Egbert, Jack RP NYM"	Free Agent	0.7	0	0	0	0	0	0	0	0	0	0	0.000	0.0000	1366
"Bundy, Dylan RP BAL "	Orange-a-Tangs	1.7	0	0	0	0	0	0	0	0	1	1	0.000	1.2000	1371
"Bulger, Jason RP MIN"	Free Agent	11.0	0	0	0	0	0	0	0	11	8	10	4.091	1.6364	1374
"Tomko, Brett RP CIN"	Free Agent	8.7	0	0	0	0	0	0	0	7	5	8	4.154	1.5000	1380
"Duke, Zach RP WAS"	Free Agent	83.0	13	5	0	4	6	0	0	46	25	108	5.205	1.6024	1381
"Manuel, Robert RP BOS"	Free Agent	4.3	0	0	0	0	0	0	0	2	2	3	4.154	1.1538	1382
"Savery, Joe RP PHI"	Free Agent	14.0	0	0	0	0	1	0	0	9	4	14	5.143	1.2857	1385
"Perdomo, Luis RP MIN"	Free Agent	6.0	0	0	0	0	0	0	0	3	4	5	3.000	1.5000	1391
"Rodriguez, Francisco RP LAA"	Free Agent	20.3	0	0	0	0	1	0	0	14	10	20	4.426	1.4754	1396
"Leroux, Chris RP PIT"	Free Agent	19.7	0	0	0	0	1	0	1	19	8	22	5.034	1.5254	1397
"Heath, Deunte RP CHW"	Free Agent	2.0	0	0	0	0	0	0	0	1	1	1	4.500	1.0000	1401
"Severino, Atahualpa RP KC"	Free Agent	1.7	0	0	0	0	0	0	0	2	0	2	5.400	1.2000	1402
"Wolf, Ross RP HOU"	Free Agent	4.3	0	0	0	0	0	0	0	3	2	4	4.154	1.3846	1404
"Rosales, Leo RP ARI"	Free Agent	5.3	0	0	0	1	0	0	0	4	3	8	6.750	2.0625	1405
"Ely, John RP HOU"	Free Agent	38.3	6	3	0	1	4	0	0	31	17	41	5.635	1.5130	1406
"Fulchino, Jeff RP WAS"	Free Agent	27.3	0	0	0	1	2	0	1	26	15	30	5.598	1.6463	1407
"Carlyle, Buddy RP ATL"	Free Agent	4.0	0	0	0	0	0	0	0	4	4	2	4.500	1.5000	1409
"Hughes, Dusty RP ATL"	Free Agent	23.0	0	0	0	1	1	0	0	15	11	26	5.087	1.6087	1410
"Putkonen, Luke RP DET"	Free Agent	16.0	0	0	0	0	2	1	1	10	8	19	3.938	1.6875	1412
"Garrison, Steve RP SEA"	Free Agent	0.3	0	0	0	0	0	0	0	0	0	0	0.000	0.0000	1417
"MacLane, Evan RP STL"	Free Agent	0.3	0	0	0	0	0	0	0	0	0	0	0.000	0.0000	1417
"Igarashi, Ryota RP NYY"	Free Agent	24.3	0	0	0	2	1	0	0	24	17	27	6.288	1.8082	1419
"Waldrop, Kyle RP PIT"	Free Agent	16.0	0	0	0	0	0	0	0	6	6	18	3.375	1.5000	1420
"Chacin, Gustavo RP HOU"	Free Agent	12.7	0	0	0	1	1	0	0	10	7	17	4.974	1.8947	1424
"Hamren, Erik RP SD"	Free Agent	6.0	0	0	0	0	0	0	0	5	4	5	4.500	1.5000	1425
"Slama, Anthony RP MIN"	Free Agent	2.3	0	0	0	0	0	0	0	3	2	2	3.857	1.7143	1428
"Ekstrom, Mike RP OAK"	Free Agent	11.0	0	0	0	0	0	0	0	7	4	11	4.909	1.3636	1429
"Brummett, Tyson RP TOR"	Free Agent	0.7	0	0	0	0	0	0	0	2	0	2	0.000	3.0000	1432
"Bonine, Eddie RP ARI"	Free Agent	22.7	0	0	0	1	0	0	0	9	7	28	4.765	1.5441	1435
"Brackman, Andrew RP CIN"	Free Agent	0.7	0	0	0	0	0	0	0	0	1	0	0.000	1.5000	1436
"Stoner, Tobi RP NYM"	Free Agent	0.7	0	0	0	0	0	0	0	0	0	1	0.000	1.5000	1436
"Jimenez, Cesar RP PHI"	Free Agent	3.3	0	0	0	0	0	0	0	4	2	3	5.400	1.5000	1438
"Weinhardt, Robbie RP DET"	Free Agent	10.3	0	0	0	1	1	0	1	7	3	15	6.097	1.7419	3515
"Torres, Alex RP TB"	Free Agent	2.7	0	0	0	0	0	0	0	3	2	3	3.375	1.8750	3516
"Marquez, Jeff RP SEA"	Free Agent	1.7	0	0	0	0	0	0	0	1	0	2	5.400	1.2000	3517
"Carson, Robert RP NYM"	Free Agent	13.3	0	0	0	0	0	0	0	5	4	13	4.725	1.2750	3520
"Baez, Danys RP PHI"	Free Agent	28.0	0	0	0	2	3	0	1	15	12	33	5.786	1.6071	3522
"Riske, David RP BAL"	Free Agent	7.7	0	0	0	0	0	0	0	5	3	8	4.696	1.4348	3523
"Ceda, Jose RP MIA"	Free Agent	9.7	0	0	0	0	0	0	0	10	8	8	4.655	1.6552	3524
"Misch, Pat RP PHI"	Free Agent	15.0	2	1	0	0	1	0	0	9	3	18	4.800	1.4000	3528
